Matrix Size,Eigenvalue,Kinetic Difference,Log Kinetic Difference
2,1.90850862679815670935783502815494480,0.0660738126648935524910972972892651769065439701080,-1.1799706323236522909070345122017897665500640869140625
3,1.85538194129764085294856945985748542,0.0129471271643776960818317289918057969065439701080,-1.887826586414319773865599927376024425029754638671875
4,1.84955906520274977931465281201352159,0.0071242510694866224479150811478419669065439701080,-2.147260783738376144214043961255811154842376708984375
5,1.84784587546169504262572145816733936,0.0054110613284318857589837273016597369065439701080,-2.26671754378898260284813659382052719593048095703125
6,1.84714396797449172464550712735039655,0.0047091538412285677787693964847169269065439701080,-2.327057121554450436207162056234665215015411376953125
7,1.84679963492977472800226136227299362,0.0043648207965115711355236314073139969065439701080,-2.360033582126518592048114442150108516216278076171875
8,1.84660993469649944981989885767433568,0.0041751205632362929531611268086560569065439701080,-2.37933097905648782699472576496191322803497314453125
9,1.84649650245800814896819297263815928,0.0040616883247449921014552417724796569065439701080,-2.391293405410943595512662795954383909702301025390625
10,1.84642438541629276263537507763443352,0.0039895712830296057686373467687538969065439701080,-2.399073770834074803559587962809018790721893310546875
11,1.84637628998609671799890080257128245,0.0039414758528335611321630717056028269065439701080,-2.404341129766646378840277975541539490222930908203125
12,1.84634295848874310602578244272404253,0.0039081443554799491590447118583629069065439701080,-2.40802940308261081980845119687728583812713623046875
13,1.84631911722079254550608900469747868,0.0038843030875293886393512738317990569065439701080,-2.41068688996228797094545370782725512981414794921875
14,1.84630160651569080500023731016405428,0.0038667923824276481334995792983746569065439701080,-2.41264914563746568632041089585982263088226318359375
15,1.84628845238185487323124215825171297,0.0038536382485917163645044273860333469065439701080,-2.414129056160643660433606783044524490833282470703125
16,1.84627837721388678288384862439081051,0.0038435630806236260171108935251308869065439701080,-2.415265986887690008444451450486667454242706298828125
17,1.84627052871160605241727455407935547,0.0038357145783428955505368232136758469065439701080,-2.41615371684613489122739338199608027935028076171875
18,1.84626432318555584438265108667231161,0.0038295090522926875159133558066319869065439701080,-2.4168568995423100886910106055438518524169921875
19,1.84625935161254100585006509294654817,0.0038245374792778489833273620808685469065439701080,-2.417421078769979914113719132728874683380126953125
20,1.84625532149156727549960073687613420,0.0038205073583041186328630060104545769065439701080,-2.417878959527936189033425762318074703216552734375
21,1.84625201983618461274276587092859380,0.0038172057029214558760281400629141769065439701080,-2.418254436006735286213142899214290082454681396484375
22,1.84624928902791149859804421639993404,0.0038144748946483417313064855342544169065439701080,-2.41856523911218612710172237711958587169647216796875
23,1.84624701070798651070511668214732162,0.0038121965747233538383789512816419969065439701080,-2.418824713197267328723683021962642669677734375
24,1.84624509481514085731047581727917403,0.0038102806818777004437380864134944069065439701080,-2.419043031122082965111985686235129833221435546875
25,1.84624347198971426708872195710148393,0.0038086578564511102219842262358043069065439701080,-2.4192280396071819126291302382014691829681396484375
26,1.84624208822341036578157180579554389,0.0038072740901472089148340749298642669065439701080,-2.419385856688756053500810594414360821247100830078125
27,1.84624090103399081950155267186879529,0.0038060869007276626348149410031156669065439701080,-2.41952130010689447914273841888643801212310791015625
28,1.84623987669249316783529619565201723,0.0038050625592300109685584647863376069065439701080,-2.419638198576709253728722615051083266735076904296875
29,1.84623898818784012686662503343405688,0.0038041740545769699998873025683772569065439701080,-2.419739620753281972298509572283364832401275634765625
30,1.84623821371521870958617369714350724,0.0038033995819555527194359662778276169065439701080,-2.419828045579146102994627653970383107662200927734375
31,1.84623753554125611836151026695960501,0.0038027214079929614947725360939253869065439701080,-2.41990549036628355139555424102582037448883056640625
32,1.84623693914347710978832034198471548,0.0038021250102139529215826111190358569065439701080,-2.4199736080509097746471525169909000396728515625
33,1.84623641255162097082684461087246695,0.0038015984183578139601068800067873269065439701080,-2.42003376172163431334638517000712454319000244140625
34,1.84623594583904581536614461673397356,0.0038011317057826584994068858682939369065439701080,-2.4200870822243931712591802352108061313629150390625
35,1.84623553072679815533149539189027346,0.0038007165935349984647576610245938369065439701080,-2.420134513046901414412559461197815835475921630859375
36,1.84623516027301711271916958321792908,0.0038003461397539558524318523522494569065439701080,-2.420176845557151512622340305824764072895050048828125
37,1.84623482862751826382276585931494645,0.0038000144942551069560281284492668269065439701080,-2.420214746866609090147903771139681339263916015625
38,1.84623453083655776946500874030044865,0.0037997167032946125982710094347690269065439701080,-2.4202487820101179494258758495561778545379638671875
39,1.84623426268651816561433841208344426,0.0037994485532550087476006812177646369065439701080,-2.420279431714036366685149914701469242572784423828125
40,1.84623402057799639712369090204142486,0.0037992064447332402569531711757452369065439701080,-2.420307106715754219550262860138900578022003173828125
41,1.84623380142379801365759714917577816,0.0037989872905348567908594183100985369065439701080,-2.420332159369684266181366183445788919925689697265625
42,1.84623360256584832204538813234144957,0.0037987884325851651786504014757699469065439701080,-2.4203548931047667025495684356428682804107666015625
43,1.84623342170716228880081984703567645,0.0037986075738991319340821161699968269065439701080,-2.4203755701707763137164874933660030364990234375
44,1.84623325685587014815623350825873953,0.0037984427226069912894957773930599069065439701080,-2.420394418014012227757802975247614085674285888671875
45,1.84623310627894680856830090537507898,0.0037982921456836517015631745093993569065439701080,-2.4204116345492874273759298375807702541351318359375
46,1.84623296846379224929494622812455269,0.0037981543305290924282084972588730669065439701080,-2.420427392538589739245935561484657227993011474609375
47,1.84623284208619508927230243717089617,0.0037980279529319324055647063052165469065439701080,-2.42044184324317779299917674507014453411102294921875
48,1.84623272598351027920109504623982615,0.0037979118502471223343573153741465269065439701080,-2.4204551194819732273799672839231789112091064453125
49,1.84623261913211506372895132486494872,0.0037978049988519068622135939992690969065439701080,-2.4204673382026680172884880448691546916961669921875
50,1.84623252062839037960459952446308997,0.0037977064951272227378617935974103469065439701080,-2.420478602651181976312955157482065260410308837890625
51,1.84623242967261925191022238190940021,0.0037976155393560950434846510437205869065439701080,-2.420489004208698613496153484447859227657318115234375
52,1.84623234555530824964465168482053444,0.0037975314220450927779139539548548169065439701080,-2.420498623952513472801228999742306768894195556640625
53,1.84623226764552929326770024299704599,0.0037974535122661364009625121313663669065439701080,-2.4205075339865373962311423383653163909912109375
54,1.84623219538095213575692724360624248,0.0037973812476889788901895127405628569065439701080,-2.42051579857901089098959346301853656768798828125
55,1.84623212825929655717730105417868125,0.0037973141260334003105633233130016269065439701080,-2.420523475138293800767996799550019204616546630859375
56,1.84623206583098072678450156230666445,0.0037972516977175699177638314409848269065439701080,-2.420530615052202794146296582766808569431304931640625
