Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
11,0.500021684846014881365774260789054630,0.000021684846014881365774260789054630,-4.663843657449955770744054461829364299774169921875,1.84637628998609671799890080257128245,0.000145352334749078338767097642632906,-3.8375779879011364670304828905500471591949462890625,3.93678310905283272719775582988404676,0.000445499347089993631753270821559036,-3.35115292811514375870274307089857757091522216796875,6.80065151513661458343752835857492423,0.000986237320729291305371787444313956,-3.00601856712619852629586603143252432346343994140625
12,0.500016782142915590632051615666073333,0.000016782142915590632051615666073333,-4.77515258480673399077431895420886576175689697265625,1.84634295848874310602578244272404253,0.000112020837395466365648737795392986,-3.95070118514995183289784108637832105159759521484375,3.93667859942280416253522934127385489,0.000340989717061428969226782211367166,-3.46725871746150371421890667988918721675872802734375,6.80041247407752541291562389767054221,0.000747196261640120783467326539931936,-3.126565309627439059880771310417912900447845458984375
13,0.500013253553626604355940791180734371,0.000013253553626604355940791180734371,-4.87766766033063703389416332356631755828857421875,1.84631911722079254550608900469747868,0.000088179569444905845955299768829136,-4.05463202603768468890166332130320370197296142578125,3.93660460454022463082113905880574783,0.000266994834481897255136499743260106,-3.573497140799128946042628740542568266391754150390625,6.80024578170805874012844124468468246,0.000580503892173447996284673554072186,-3.23619486404980971627765029552392661571502685546875
14,0.500010649244328532923553566068974014,0.000010649244328532923553566068974014,-4.97268120871275431937874600407667458057403564453125,1.84630160651569080500023731016405428,0.000070668864343165340103605235404736,-4.150771887791822933877483592368662357330322265625,3.93655068815856479488411888053706861,0.000213078452822061318116321474580886,-3.671460465319162036479383459663949906826019287109375,6.80012573500227667944408873637260487,0.000460457186391387311932165241994596,-3.336810744573260212320064965751953423023223876953125
15,0.500008685217152308322732484229013635,0.000008685217152308322732484229013635,-5.06121931862502805188341881148517131805419921875,1.84628845238185487323124215825171297,0.000057514730507233571108453323063426,-4.24022091081126983880267289350740611553192138671875,3.93651044153142738175172908243273534,0.000172831825684648185726523370247616,-3.762376282420988982124754329561255872249603271484375,6.80003694726901665066827485056761928,0.000371669453131358536118279437009006,-3.429843131348837115268679553992114961147308349609375
16,0.500007176117252987607155081187815839,0.000007176117252987607155081187815839,-5.144110473822731677273623063229024410247802734375,1.84627837721388678288384862439081051,0.000047439562539143223714919462160966,-4.32385932444379594841166181140579283237457275390625,3.93647977294556429138465662717861623,0.000142163239821557818654068116128506,-3.847212687759085980587769881822168827056884765625,6.79996978882293419193569814300787882,0.000304511007048899803541571877268546,-3.516397004462297193327913191751576960086822509765625
17,0.500005997450135143696523968541544348,0.000005997450135143696523968541544348,-5.2220333542183166031236396520398557186126708984375,1.84627052871160605241727455407935547,0.000039591060258412757140849150705926,-4.4024028675781234909436534508131444454193115234375,3.93645598261936550058952276889886436,0.000118372913622767023520209836376636,-3.92674766256188778612568057724274694919586181640625,6.79991800633300439109621042362354335,0.000252728517119098964053852492933076,-3.59734575084342100836920508299954235553741455078125
18,0.500005063479129144146934039531041696,0.000005063479129144146934039531041696,-5.295550975773689827974521904252469539642333984375,1.84626432318555584438265108667231161,0.000033385534208204722517381743662066,-4.4764416701473077608852690900675952434539794921875,3.93643723819226924678643641871052475,0.000099628486526513220433859648037026,-4.00161646707406593037603670381940901279449462890625,6.79987741026465386962403249569832084,0.000212132448768577491875924567710566,-3.6733928946929186309944270760752260684967041015625
19,0.500004313843542940770713479940647869,0.000004313843542940770713479940647869,-5.3651356102000153924791447934694588184356689453125,1.84625935161254100585006509294654817,0.000028413961193366189931388017898626,-4.54646821701624759270998765714466571807861328125,3.93642226517507849742331159847341757,0.000084655469335763857309039410929846,-4.072344978185764574618588085286319255828857421875,6.79984511758306193110047015434594200,0.000179839767176638968313583215331726,-3.745114268355063114057657003286294639110565185546875
20,0.500003705208701022401177514535246355,0.000003705208701022401177514535246355,-5.43118732475625876077174325473606586456298828125,1.84625532149156727549960073687613420,0.000024383840219635839467031947484656,-4.61289789613928835620981772080995142459869384765625,3.93641015784307027674953515070352380,0.000072548137327543183532591641036076,-4.13937373358812532586625820840708911418914794921875,6.79981909764052980944696969102130073,0.000153819824644517314813119890690456,-3.812987688078964598759057480492629110813140869140625
21,0.500003205914901272780189665060894671,0.000003205914901272780189665060894671,-5.494048009866514092891520704142749309539794921875,1.84625201983618461274276587092859380,0.000021082184836973082632165999944256,-4.676084383332725025184117839671671390533447265625,3.93640026017794872410381608255931868,0.000062650472205990537813523496830956,-4.2030756513149523101446902728639543056488037109375,6.79979789067202261414940879436655446,0.000132612856137322017252223235944186,-3.877414371264200187994219959364272654056549072265625
22,0.500002792465696977076209863467516149,0.000002792465696977076209863467516149,-5.5540121531112145447650618734769523143768310546875,1.84624928902791149859804421639993404,0.000018351376563858937910511471284496,-4.73633135311951303236810417729429900646209716796875,3.93639208889849384517907759959663267,0.000054479192751111613075040534144946,-4.2637693362335813418440011446364223957061767578125,6.79978042816687222096949943335131482,0.000115150350986928837342862220704546,-3.938734733935493892431622953154146671295166015625
23,0.500002447173571292185332793706633826,0.000002447173571292185332793706633826,-5.61133522624238167963994783349335193634033203125,1.84624701070798651070511668214732162,0.000016073056638871044982977218672076,-4.79390152490670917728721178718842566013336181640625,3.93638528251675264131934114902701470,0.000047672811009907753338589964526976,-4.3217292393022717078565619885921478271484375,6.79976591529132066563794632282138600,0.000100637475435373505789751690775726,-3.997240266356660409741152761853300034999847412109375
24,0.500002156550866680129296269979067748,0.000002156550866680129296269979067748,-5.66624029367014703240101880510337650775909423828125,1.84624509481514085731047581727917403,0.000014157163793217650342112350524486,-4.8490237432796856609229507739655673503875732421875,3.93637956690316652787122218934382569,0.000041957197423794305219630281337966,-4.37719352867749211810632914421148598194122314453125,6.79975375216765277787266557491188213,0.000088474351767485740509003781271856,-4.053182610660893914200642029754817485809326171875
25,0.500001910190685001506719258420891583,0.000001910190685001506719258420891583,-5.71892327709239367550253518857061862945556640625,1.84624347198971426708872195710148393,0.000012534338366627428588252172834386,-4.90189858562330993407840651343576610088348388671875,3.93637473156599447980539280650337674,0.000037121860251746239390247440889016,-4.430370268530079869151450111530721187591552734375,6.79974348009259470610315995650260708,0.000078202276709413971003385371996806,-4.1067806031045730463802101439796388149261474609375
26,0.500001699976071083889884891624105283,0.000001699976071083889884891624105283,-5.7695571917213523960299426107667386531829833984375,1.84624208822341036578157180579554389,0.000011150572062726121438100866894346,-4.9527028512425346207237453199923038482666015625,3.93637061302898941088610428650254912,0.000033003323246677320101727440061396,-4.48144232693947319745575441629625856876373291015625,6.79973474411949147569471504872969128,0.000069466303606183562558477599081006,-4.15822580989414003482806947431527078151702880859375
27,0.500001519512977877991213953803911084,0.000001519512977877991213953803911084,-5.8182955863397278761794950696639716625213623046875,1.84624090103399081950155267186879529,0.000009963382643179841418966940145746,-5.001593190305214875479578040540218353271484375,3.93636708300026339830273677640363863,0.000029473294520664736734217341150906,-4.5305713160613283463362677139230072498321533203125,6.79972726659305836573615599518601420,0.000061988777173073603999424055403926,-4.207686930711250994363581412471830844879150390625
28,0.500001363718209497390346320200657749,0.000001363718209497390346320200657749,-5.86527536040051078458645861246623098850250244140625,1.84623987669249316783529619565201723,0.000008939041145528175162490723367686,-5.04870906370289418418906279839575290679931640625,3.93636403983054275391586709813335684,0.000026430124800020349864539070869116,-4.57790078617467610655467069591395556926727294921875,6.79972082814812777867625284880515160,0.000055550332242486544096277674541326,-4.2553133392317175065500123309902846813201904296875
29,0.500001228516266023447673726119645193,0.000001228516266023447673726119645193,-5.910619088921418295967669109813868999481201171875,1.84623898818784012686662503343405688,0.000008050536492487206491328505407336,-5.09417517702801792012223813799209892749786376953125,3.93636140226513552619728950656508240,0.000023792559392792631286947502594676,-4.623558837896300843794961110688745975494384765625,6.79971525387911833052479669385458268,0.000049976063233038392640122723972406,-4.3012379575634298589648096822202205657958984375
30,0.500001110613747605615316278364894122,0.000001110613747605615316278364894122,-5.9544369549654643236635820358060300350189208984375,1.84623821371521870958617369714350724,0.000007276063871069926039992214857696,-5.1381034972485384315632472862489521503448486328125,3.93635910481832249081603924850344309,0.000021495112579757250036689440955366,-4.66766027594174914838731638155877590179443359375,6.79971040314572019288435144475291019,0.000045125329834900752194873622299916,-4.34557961068287657013797797844745218753814697265625
31,0.500001007329687287633530249940308182,0.000001007329687287633530249940308182,-5.996828366649541663946365588344633579254150390625,1.84623753554125611836151026695960501,0.000006597889908478701376562030955466,-5.1805949353106957033787693944759666919708251953125,3.93635709431055373485849474902417845,0.000019484604811001292492189961690726,-4.710308398192662338033187552355229854583740234375,6.79970616197118940489722190926371331,0.000040884155304112765065338133103036,-4.38844497065376959454852112685330212116241455078125
32,0.500000916466683168936225610104280058,9.16466683168936225610104280058E-7,-6.0378833185674363193129465798847377300262451171875,1.84623693914347710978832034198471548,0.000006001492129470128186637056065936,-5.2217407591112579012815331225283443927764892578125,3.93635532724925043200495770925154374,0.000017717543507698438955150189056016,-4.751596492099384505536363576538860797882080078125,6.79970243731281957924622237975430374,0.000037159496934287114065808623693466,-4.42993017412247613862064099521376192569732666015625
33,0.500000836212115103748288501974367938,8.36212115103748288501974367938E-7,-6.07768354464904536627045672503300011157989501953125,1.84623641255162097082684461087246695,0.000005474900273331166710905943817406,-5.2616237871976938578200133633799850940704345703125,3.93635376782859074760763014630621589,0.000016158122848014041627587243728166,-4.7916090943103171184702659957110881805419921875,6.79969915270035397186819318444882581,0.000033874884468679736036613318215536,-4.47012217728950655981634554336778819561004638671875
34,0.500000765061769000027782808462615237,7.65061769000027782808462615237E-7,-6.11630349967918096609764688764698803424835205078125,1.84623594583904581536614461673397356,0.000005008187698175706010911805324016,-5.30031940288979708242322885780595242977142333984375,3.93635238638826890294108919227017536,0.000014776682526169375086633207687636,-4.83042305730094057025780784897506237030029296875,6.79969624488488436888545455278645110,0.000030967068999076753297981655840826,-4.5090998982197607602984135155566036701202392578125
35,0.500000701760308362022037800046898082,7.01760308362022037800046898082E-7,-6.1538111991682473700393529725261032581329345703125,1.84623553072679815533149539189027346,0.000004593075450515671361686961623916,-5.3378964203618561867870084824971854686737060546875,3.93635115821593623692055789688951958,0.000013548510193503354555337827031856,-4.86810845758016252915467703132890164852142333984375,6.79969366124181638307387849414557562,0.000028383425931090941721923014965346,-4.5469351855814803542443769401870667934417724609375
36,0.500000645254524630382253703943360183,6.45254524630382253703943360183E-7,-6.1902689414293963210411675390787422657012939453125,1.84623516027301711271916958321792908,0.000004222621669473059035878289279536,-5.374417827933509528293143375776708126068115234375,3.93635006260936646237843046023287731,0.000012452903623728812427901170389586,-4.90472937300715283726049165125004947185516357421875,6.79969135774191501578842214735137301,0.000026079926029723656265576220762736,-4.583693644724181837091236957348883152008056640625
37,0.500000594656360973598506935731152059,5.94656360973598506935731152059E-7,-6.225733931155591704964535892941057682037353515625,1.84623482862751826382276585931494645,0.000003890976170624162632154386296906,-5.4099414289233518360333619057200849056243896484375,3.93634908213659341978913848410962635,0.000011472430850686223135925047138626,-4.94034455130651384280326965381391346454620361328125,6.79968929735413342824972471142252513,0.000024019538248136117568140291914856,-4.61943534573469616333341036806814372539520263671875
38,0.500000549213469502074244586126756210,5.49213469502074244586126756210E-7,-6.260258820199499751879557152278721332550048828125,1.84623453083655776946500874030044865,0.000003593185210129804875035371799106,-5.4445203965820727631808040314354002475738525390625,3.93634820204817637489160232849400446,0.000010592342433641325599769431516736,-4.97500798762520890505811621551401913166046142578125,6.79968744877937298964731222802679333,0.000022170963487697515155656896183056,-4.65421543325906927890400766045786440372467041015625
39,0.500000508285618143796129010978791630,5.08285618143796129010978791630E-7,-6.29389217841288228783014346845448017120361328125,1.84623426268651816561433841208344426,0.000003325035170525954204707154794716,-5.47820375659108282917486576479859650135040283203125,3.93634740980725718738624691909762359,0.000009800101514453820244360035135866,-5.00876942564028215798543897108174860477447509765625,6.79968578543987114048239338096806749,0.000020507623985848350236809837457216,-4.68808465409336339035917262663133442401885986328125
