Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2)
1,0.536844929114528343918880273712156099,0.036844929114528343918880273712156099,-1.433622274673794105837032475392334163188934326171875,,,
2,0.503227070346064374012295817994211804,0.003227070346064374012295817994211804,-2.491191567420826036283187931985594332218170166015625,1.90850862679815670935783502815494480,0.062277689146872189510322152655876140,-1.2056675105769600886418402296840213239192962646484375
3,0.500966546529793417523068733672653522,0.000966546529793417523068733672653522,-3.01477723408641917757222472573630511760711669921875,1.85538194129764085294856945985748542,0.009151003646356333101056584358416760,-2.03853127159794933476177902775816619396209716796875
4,0.500417399452992985002890011285029941,0.000417399452992985002890011285029941,-3.3794481244183458557017729617655277252197265625,1.84955906520274977931465281201352159,0.003328127551465259467139936514452930,-2.477800037598863358567768955253995954990386962890625
5,0.500217960522471971158284126805621138,0.000217960522471971158284126805621138,-3.6616221597217641914312480366788804531097412109375,1.84784587546169504262572145816733936,0.001614937810410522778208582668270700,-2.791844197243448899570239518652670085430145263671875
6,0.500128104671212273503428080419334000,0.000128104671212273503428080419334000,-3.892435033840584868158885001321323215961456298828125,1.84714396797449172464550712735039655,0.000913030323207204797994251851327890,-3.03951479860713025260565700591541826725006103515625
7,0.500081664405705688082489478314484013,0.000081664405705688082489478314484013,-4.08796719406700059806780700455419719219207763671875,1.84679963492977472800226136227299362,0.000568697278490208154748486773924960,-3.245118850065949356320516017149202525615692138671875
8,0.500055247114567288987596029634417437,0.000055247114567288987596029634417437,-4.257690399275933401668225997127592563629150390625,1.84660993469649944981989885767433568,0.000378997045214929972385982175267020,-3.42136417592072294979743674048222601413726806640625
9,0.500039112799761668449755917251697326,0.000039112799761668449755917251697326,-4.40768109538708330319423112086951732635498046875,1.84649650245800814896819297263815928,0.000265564806723629120680097139090620,-3.57582947922282823327577716554515063762664794921875
10,0.500028702462125662622459941835775763,0.000028702462125662622459941835775763,-4.54208084745675844118295572116039693355560302734375,1.84642438541629276263537507763443352,0.000193447765008242787862202135364860,-3.71343628351934196274442001595161855220794677734375
11,0.500021684846014881365774260789054630,0.000021684846014881365774260789054630,-4.663843657449955770744054461829364299774169921875,1.84637628998609671799890080257128245,0.000145352334812198151387927072213790,-3.83757798771254243774819769896566867828369140625
12,0.500016782142915590632051615666073333,0.000016782142915590632051615666073333,-4.77515258480673399077431895420886576175689697265625,1.84634295848874310602578244272404253,0.000112020837458586178269567224973870,-3.9507011849052418028804822824895381927490234375
13,0.500013253553626604355940791180734371,0.000013253553626604355940791180734371,-4.87766766033063703389416332356631755828857421875,1.84631911722079254550608900469747868,0.000088179569508025658576129198410020,-4.0546320257268124720440027886070311069488525390625
14,0.500010649244328532923553566068974014,0.000010649244328532923553566068974014,-4.97268120871275431937874600407667458057403564453125,1.84630160651569080500023731016405428,0.000070668864406285152724434664985620,-4.15077188740392077903607059852220118045806884765625
15,0.500008685217152308322732484229013635,0.000008685217152308322732484229013635,-5.06121931862502805188341881148517131805419921875,1.84628845238185487323124215825171297,0.000057514730570353383729282752644310,-4.24022091033465198250951289082877337932586669921875
16,0.500007176117252987607155081187815839,0.000007176117252987607155081187815839,-5.144110473822731677273623063229024410247802734375,1.84627837721388678288384862439081051,0.000047439562602263036335748891741850,-4.32385932386595417398211793624795973300933837890625
17,0.500005997450135143696523968541544348,0.000005997450135143696523968541544348,-5.2220333542183166031236396520398557186126708984375,1.84627052871160605241727455407935547,0.000039591060321532569761678580286810,-4.40240286688572979301170562393963336944580078125
18,0.500005063479129144146934039531041696,0.000005063479129144146934039531041696,-5.295550975773689827974521904252469539642333984375,1.84626432318555584438265108667231161,0.000033385534271324535138211173242950,-4.47644166932621612176035341690294444561004638671875
19,0.500004313843542940770713479940647869,0.000004313843542940770713479940647869,-5.3651356102000153924791447934694588184356689453125,1.84625935161254100585006509294654817,0.000028413961256486002552217447479510,-4.54646821605148954148489792714826762676239013671875
20,0.500003705208701022401177514535246355,0.000003705208701022401177514535246355,-5.43118732475625876077174325473606586456298828125,1.84625532149156727549960073687613420,0.000024383840282755652087861377065540,-4.612897895015077409652803908102214336395263671875
21,0.500003205914901272780189665060894671,0.000003205914901272780189665060894671,-5.494048009866514092891520704142749309539794921875,1.84625201983618461274276587092859380,0.000021082184900092895252995429525140,-4.67608438203245224684678760240785777568817138671875
22,0.500002792465696977076209863467516149,0.000002792465696977076209863467516149,-5.5540121531112145447650618734769523143768310546875,1.84624928902791149859804421639993404,0.000018351376626978750531340900865380,-4.736331351625750585299101658165454864501953125
23,0.500002447173571292185332793706633826,0.000002447173571292185332793706633826,-5.61133522624238167963994783349335193634033203125,1.84624701070798651070511668214732162,0.000016073056701990857603806648252960,-4.793901523201210324032217613421380519866943359375
24,0.500002156550866680129296269979067748,0.000002156550866680129296269979067748,-5.66624029367014703240101880510337650775909423828125,1.84624509481514085731047581727917403,0.000014157163856337462962941780105370,-4.84902374134338032263258355669677257537841796875
25,0.500001910190685001506719258420891583,0.000001910190685001506719258420891583,-5.71892327709239367550253518857061862945556640625,1.84624347198971426708872195710148393,0.000012534338429747241209081602415270,-4.90189858343631090775716074858792126178741455078125
26,0.500001699976071083889884891624105283,0.000001699976071083889884891624105283,-5.7695571917213523960299426107667386531829833984375,1.84624208822341036578157180579554389,0.000011150572125845934058930296475230,-4.95270284878413225015947318752296268939971923828125
27,0.500001519512977877991213953803911084,0.000001519512977877991213953803911084,-5.8182955863397278761794950696639716625213623046875,1.84624090103399081950155267186879529,0.000009963382706299654039796369726630,-5.0015931875538814921355879050679504871368408203125
28,0.500001363718209497390346320200657749,0.000001363718209497390346320200657749,-5.86527536040051078458645861246623098850250244140625,1.84623987669249316783529619565201723,0.000008939041208647987783320152948570,-5.048709060636280554490440408699214458465576171875
29,0.500001228516266023447673726119645193,0.000001228516266023447673726119645193,-5.910619088921418295967669109813868999481201171875,1.84623898818784012686662503343405688,0.000008050536555607019112157934988220,-5.094175173622954133634266327135264873504638671875
30,0.500001110613747605615316278364894122,0.000001110613747605615316278364894122,-5.9544369549654643236635820358060300350189208984375,1.84623821371521870958617369714350724,0.000007276063934189738660821644438580,-5.138103493481036565526665071956813335418701171875
31,0.500001007329687287633530249940308182,0.000001007329687287633530249940308182,-5.996828366649541663946365588344633579254150390625,1.84623753554125611836151026695960501,0.000006597889971598513997391460536350,-5.18059493115594538181767347850836813449859619140625
32,0.500000916466683168936225610104280058,9.16466683168936225610104280058E-7,-6.0378833185674363193129465798847377300262451171875,1.84623693914347710978832034198471548,0.000006001492192589940807466485646820,-5.22174075454362895953863699105568230152130126953125
33,0.500000836212115103748288501974367938,8.36212115103748288501974367938E-7,-6.07768354464904536627045672503300011157989501953125,1.84623641255162097082684461087246695,0.000005474900336450979331735373398290,-5.26162378219073811891348668723367154598236083984375
34,0.500000765061769000027782808462615237,7.65061769000027782808462615237E-7,-6.11630349967918096609764688764698803424835205078125,1.84623594583904581536614461673397356,0.000005008187761295518631741234904900,-5.30031939741624302797617929172702133655548095703125
35,0.500000701760308362022037800046898082,7.01760308362022037800046898082E-7,-6.1538111991682473700393529725261032581329345703125,1.84623553072679815533149539189027346,0.000004593075513635483982516391204800,-5.33789641439361428609799986588768661022186279296875
36,0.500000645254524630382253703943360183,6.45254524630382253703943360183E-7,-6.1902689414293963210411675390787422657012939453125,1.84623516027301711271916958321792908,0.000004222621732592871656707718860420,-5.37441782144166868562251693219877779483795166015625
37,0.500000594656360973598506935731152059,5.94656360973598506935731152059E-7,-6.225733931155591704964535892941057682037353515625,1.84623482862751826382276585931494645,0.000003890976233743975252983815877790,-5.4099414218781820551384953432716429233551025390625
38,0.500000549213469502074244586126756210,5.49213469502074244586126756210E-7,-6.260258820199499751879557152278721332550048828125,1.84623453083655776946500874030044865,0.000003593185273249617495864801379990,-5.4445203889530233709592721424996852874755859375
39,0.500000508285618143796129010978791630,5.08285618143796129010978791630E-7,-6.29389217841288228783014346845448017120361328125,1.84623426268651816561433841208344426,0.000003325035233645766825536584375600,-5.47820374834678336384286012616939842700958251953125
40,0.500000471325671421628220732496706711,4.71325671421628220732496706711E-7,-6.326678905130819430269184522330760955810546875,1.84623402057799639712369090204142486,0.000003082926711877276178026542356200,-5.51103679931034040606618873425759375095367431640625
41,0.500000437864171197272015455877817201,4.37864171197272015455877817201E-7,-6.35866059006231498784700306714512407779693603515625,1.84623380142379801365759714917577816,0.000002863772513493810084273676709500,-5.54306148359121575452945762663148343563079833984375
42,0.500000407496768541233906735593610504,4.07496768541233906735593610504E-7,-6.38987583087560029326823496376164257526397705078125,1.84623360256584832204538813234144957,0.000002664914563802197875256842380910,-5.57431670973835924343120495905168354511260986328125
43,0.500000379873927050613264678947554666,3.79873927050613264678947554666E-7,-6.420360513569864480132309836335480213165283203125,1.84623342170716228880081984703567645,0.000002484055877768953306971536607790,-5.60483863911793189771515244501642882823944091796875
