Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
11,0.500021684846014881365774260789054630,-1.346209252805300418634225739210945370,0.12911257123667885249318487694836221635341644287109375,1.84637628998609671799890080257128245,-2.08996131971946888200109919742871755,0.320138248413521064872355736952158622443675994873046875,3.93678310905283272719775582988404676,-2.86288216876263827280224417011595324,0.456803473585946306911864667199552059173583984375,6.80065151513661458343752835857492423,-3.64739506015121341656247164142507577,0.5619828055818363310436325264163315296173095703125
12,0.500016782142915590632051615666073333,-1.346214155508399709367948384333926667,0.1291141528726844345253965684605645947158336639404296875,1.84634295848874310602578244272404253,-2.08999465121682249397421755727595747,0.320145174651728037229503343041869811713695526123046875,3.93667859942280416253522934127385489,-2.86298667839266683746477065872614511,0.456819327234307348550856886504334397614002227783203125,6.80041247407752541291562389767054221,-3.64763410121030258708437610232945779,0.562011267212530807313441982842050492763519287109375
13,0.500013253553626604355940791180734371,-1.346217684097688695644059208819265629,0.1291152912092874693872346369971637614071369171142578125,1.84631911722079254550608900469747868,-2.09001849248477305449391099530252132,0.32015012876586912415888264149543829262256622314453125,3.93660460454022463082113905880574783,-2.86306067327524636917886094119425217,0.45683055158060470457570545477210544049739837646484375,6.80024578170805874012844124468468246,-3.64780079357976925987155875531531754,0.56203111348003675917794907945790328085422515869140625
14,0.500010649244328532923553566068974014,-1.346220288406986767076446433931025986,0.1291161313676635058467212502364418469369411468505859375,1.84630160651569080500023731016405428,-2.09003600318987479499976268983594572,0.320153767379962650441171945203677751123905181884765625,3.93655068815856479488411888053706861,-2.86311458965690620511588111946293139,0.4568387300194280964404924816335551440715789794921875,6.80012573500227667944408873637260487,-3.64792084028555132055591126362739513,0.56204540558834714669700360900606028735637664794921875
15,0.500008685217152308322732484229013635,-1.346222252434162991677267515770986365,0.12911676496793689228326229567755945026874542236328125,1.84628845238185487323124215825171297,-2.09004915732371072676875784174828703,0.320156500705969071507439593915478326380252838134765625,3.93651044153142738175172908243273534,-2.86315483628404361824827091756726466,0.456844834827560941636903635298949666321277618408203125,6.80003694726901665066827485056761928,-3.64800962801881134933172514943238072,0.56205597587072164689203646048554219305515289306640625
16,0.500007176117252987607155081187815839,-1.346223761534062312392844918812184161,0.1291172518068599284202235821794602088630199432373046875,1.84627837721388678288384862439081051,-2.09005923249167881711615137560918949,0.32015859423534431815738798832171596586704254150390625,3.93647977294556429138465662717861623,-2.86318550486990670861534337282138377,0.456849486733251042291925614335923455655574798583984375,6.79996978882293419193569814300787882,-3.64807678646489380806430185699212118,0.5620639709905408398782356016454286873340606689453125
17,0.500005997450135143696523968541544348,-1.346224940201180156303476031458455652,0.1291176320470665273010268947473377920687198638916015625,1.84627052871160605241727455407935547,-2.09006708099395954758272544592064453,0.320160225076604187943729584731045179069042205810546875,3.93645598261936550058952276889886436,-2.86320929519610549941047723110113564,0.45685309528898343511826851681689731776714324951171875,6.79991800633300439109621042362354335,-3.64812856895482360890378957637645665,0.56207013552362095065717539910110644996166229248046875
18,0.500005063479129144146934039531041696,-1.346225874172186155853065960468958304,0.1291179333476154822424319945639581419527530670166015625,1.84626432318555584438265108667231161,-2.09007328652000975561734891332768839,0.3201615145192946432217695473809726536273956298828125,3.93643723819226924678643641871052475,-2.86322803962320175321356358128947525,0.456855938453337995230896240173024125397205352783203125,6.79987741026465386962403249569832084,-3.64816916502317413037596750430167916,0.56207496828925485043981780108879320323467254638671875
19,0.500004313843542940770713479940647869,-1.346226623807772359229286520059352131,0.129118175181110184102095672642462886869907379150390625,1.84625935161254100585006509294654817,-2.09007825809302459414993490705345183,0.320162547556830989758935857025790028274059295654296875,3.93642226517507849742331159847341757,-2.86324301264039250257668840152658243,0.456858209554923566653172883889055810868740081787109375,6.79984511758306193110047015434594200,-3.64820145770476606889952984565405800,0.56207881253844294011656756993033923208713531494140625
20,0.500003705208701022401177514535246355,-1.346227232442614277598822485464753645,0.129118371527467468151684215627028606832027435302734375,1.84625532149156727549960073687613420,-2.09008228821399832450039926312386580,0.320163384969308795202636019894271157681941986083984375,3.93641015784307027674953515070352380,-2.86325511997240072325046484929647620,0.45686004598177987201523819749127142131328582763671875,6.79981909764052980944696969102130073,-3.64822747764729819055303030897869927,0.562081910031082543355296365916728973388671875
21,0.500003205914901272780189665060894671,-1.346227731736414027219810334939105329,0.1291185326002021460656266071964637376368045806884765625,1.84625201983618461274276587092859380,-2.09008558986938098725723412907140620,0.320164071013867623793913708141189999878406524658203125,3.93640026017794872410381608255931868,-2.86326501763752227589618391744068132,0.45686154724301453189383437347714789211750030517578125,6.79979789067202261414940879436655446,-3.64824868461580538585059120563344554,0.562084434556400225346806109882891178131103515625
22,0.500002792465696977076209863467516149,-1.346228145185618322923790136532483851,0.1291186659793297775156162288112682290375232696533203125,1.84624928902791149859804421639993404,-2.09008832067765410140195578360006596,0.320164638442395454998035120297572575509548187255859375,3.93639208889849384517907759959663267,-2.86327318891697715482092240040336733,0.456862786645057916690149113492225296795368194580078125,6.79978042816687222096949943335131482,-3.64826614712095577903050056664868518,0.5620865133213452935478926519863307476043701171875
23,0.500002447173571292185332793706633826,-1.346228490477744007814667206293366174,0.1291187773708840913489126478452817536890506744384765625,1.84624701070798651070511668214732162,-2.09009059899757908929488331785267838,0.32016511184881679685787503331084735691547393798828125,3.93638528251675264131934114902701470,-2.86327999529871835868065885097298530,0.456863819019659889164586275001056492328643798828125,6.79976591529132066563794632282138600,-3.64828065999650733436205367717861400,0.56208824095002640763851786687155254185199737548828125
24,0.500002156550866680129296269979067748,-1.346228781100448619870703730020932252,0.129118871126011225403118487520259805023670196533203125,1.84624509481514085731047581727917403,-2.09009251489042474268952418272082597,0.320165509947018811498509194279904477298259735107421875,3.93637956690316652787122218934382569,-2.86328571091230447212877781065617431,0.4568646859474376764609360179747454822063446044921875,6.79975375216765277787266557491188213,-3.64829282312017522212733442508811787,0.56208968885636323431498340141843073070049285888671875
25,0.500001910190685001506719258420891583,-1.346229027460630298493280741579108417,0.1291189506019957133897690937374136410653591156005859375,1.84624347198971426708872195710148393,-2.09009413771585133291127804289851607,0.320165847149247506653324535363935865461826324462890625,3.93637473156599447980539280650337674,-2.86329054624947652019460719349662326,0.456865419356077551160666416762978769838809967041015625,6.79974348009259470610315995650260708,-3.64830309519523329389684004349739292,0.5620909116472552202736778781400062143802642822265625
26,0.500001699976071083889884891624105283,-1.346229237675244216110115108375894717,0.129119018417380659879967197412042878568172454833984375,1.84624208822341036578157180579554389,-2.09009552148215523421842819420445611,0.320166134677861702328982573817484080791473388671875,3.93637061302898941088610428650254912,-2.86329466478648158911389571349745088,0.456866044041759844507311072447919286787509918212890625,6.79973474411949147569471504872969128,-3.64831183116833652430528495127030872,0.5620919515774012165110207206453196704387664794921875
27,0.500001519512977877991213953803911084,-1.346229418138337422008786046196088916,0.129119076634895246780132538333418779075145721435546875,1.84624090103399081950155267186879529,-2.09009670867157478049844732813120471,0.32016638136020814098259279489866457879543304443359375,3.93636708300026339830273677640363863,-2.86329819481520760169726322359636137,0.456866579463793220927669835873530246317386627197265625,6.79972726659305836573615599518601420,-3.64831930869476963426384400481398580,0.56209284170009088388297868732479400932788848876953125
28,0.500001363718209497390346320200657749,-1.346229573933105802609653679799342251,0.1291191268943855108286555832819431088864803314208984375,1.84623987669249316783529619565201723,-2.09009773301307243216470380434798277,0.320166594204785714961047915494418703019618988037109375,3.93636403983054275391586709813335684,-2.86330123798492824608413290186664316,0.456867041040277699348592932437895797193050384521484375,6.79972082814812777867625284880515160,-3.64832574713970022132374715119484840,0.56209360812934272555452253072871826589107513427734375
29,0.500001228516266023447673726119645193,-1.346229709135049276552326273880354807,0.1291191705106127518565273248896119184792041778564453125,1.84623898818784012686662503343405688,-2.09009862151772547313337496656594312,0.320166778824184039553557568069663830101490020751953125,3.93636140226513552619728950656508240,-2.86330387555033547380271049343491760,0.456867441095835713493755747549585066735744476318359375,6.79971525387911833052479669385458268,-3.64833132140870966947520330614541732,0.56209427168643433248007568181492388248443603515625
30,0.500001110613747605615316278364894122,-1.346229827037567694384683721635105878,0.1291192085460316218981091651585302315652370452880859375,1.84623821371521870958617369714350724,-2.09009939599034689041382630285649276,0.320166939749185475161397107513039372861385345458984375,3.93635910481832249081603924850344309,-2.86330617299714850918396075149655691,0.456867789563241311068253480698331259191036224365234375,6.79971040314572019288435144475291019,-3.64833617214210780711564855524708981,0.56209484911352680658325198237434960901737213134765625
31,0.500001007329687287633530249940308182,-1.346229930321628012366469750059691818,0.1291192418655250084835728330290294252336025238037109375,1.84623753554125611836151026695960501,-2.09010007416430948163848973304039499,0.320167080664570835590865272024529986083507537841796875,3.93635709431055373485849474902417845,-2.86330818350491726514150525097582155,0.4568680945086682765321484112064354121685028076171875,6.79970616197118940489722190926371331,-3.64834041331663859510277809073628669,0.562095353978631973035362534574232995510101318359375
32,0.500000916466683168936225610104280058,-1.346230021184632131063774389895719942,0.129119271177976779885199221098446287214756011962890625,1.84623693914347710978832034198471548,-2.09010067056208849021167965801528452,0.32016720458793257453322667061001993715763092041015625,3.93635532724925043200495770925154374,-2.86330995056622056799504229074845626,0.45686836252897455867838516496703960001468658447265625,6.79970243731281957924622237975430374,-3.64834413797500842075377762024569626,0.56209579735769421571234261136851273477077484130859375
33,0.500000836212115103748288501974367938,-1.346230101439200196251711498025632062,0.1291192970681400431498531133911455981433391571044921875,1.84623641255162097082684461087246695,-2.09010119715394462917315538912753305,0.320167314006541747772871531196869909763336181640625,3.93635376782859074760763014630621589,-2.86331150998688025239236985369378411,0.456868599055098079109171749223605729639530181884765625,6.79969915270035397186819318444882581,-3.64834742258747402813180681555117419,0.56209618835382091361907441751100122928619384765625
34,0.500000765061769000027782808462615237,-1.346230172589546299972217191537384763,0.1291193200212754910172208155927364714443683624267578125,1.84623594583904581536614461673397356,-2.09010166386651978463385538326602644,0.320167410983029643301023270396399311721324920654296875,3.93635238638826890294108919227017536,-2.86331289142720209705891080772982464,0.45686880858583267528416627101250924170017242431640625,6.79969624488488436888545455278645110,-3.64835033040294363111454544721354890,0.5620965344962145504581485511153005063533782958984375
35,0.500000701760308362022037800046898082,-1.346230235891006937977962199953101918,0.129119340442355789999595572226098738610744476318359375,1.84623553072679815533149539189027346,-2.09010207897876744466850460810972654,0.32016749723765725033075568717322312295436859130859375,3.93635115821593623692055789688951958,-2.86331411959953476307944210311048042,0.45686899486947429860350666785961948335170745849609375,6.79969366124181638307387849414557562,-3.64835291404601161692612150585442438,0.56209684204933552109650918282568454742431640625
36,0.500000645254524630382253703943360183,-1.346230292396790669617746296056639817,0.129119358671146711170507614951930008828639984130859375,1.84623516027301711271916958321792908,-2.09010244943254848728083041678207092,0.32016757421285391149723409398575313389301300048828125,3.93635006260936646237843046023287731,-2.86331521520610453762156953976712269,0.456869161046071337040075377444736659526824951171875,6.79969135774191501578842214735137301,-3.64835521754591298421157785264862699,0.56209711625443670168777998696896247565746307373046875
37,0.500000594656360973598506935731152059,-1.346230342994954326401493064268847941,0.1291193749941361434974140820486354641616344451904296875,1.84623482862751826382276585931494645,-2.09010278107804733617723414068505355,0.32016764312421219784710046951659023761749267578125,3.93634908213659341978913848410962635,-2.86331619567887758021086151589037365,0.4568693097596463470466687795124016702175140380859375,6.79968929735413342824972471142252513,-3.64835727793369457175027528857747487,0.562097361519696914200494575197808444499969482421875
38,0.500000549213469502074244586126756210,-1.346230388437845797925755413873243790,0.12911938965403202406179161698673851788043975830078125,1.84623453083655776946500874030044865,-2.09010307886900783053499125969955135,0.3201677050010551806025205223704688251018524169921875,3.93634820204817637489160232849400446,-2.86331707576729462510839767150599554,0.456869443247343187675113540535676293075084686279296875,6.79968744877937298964731222802679333,-3.64835912650845501035268777197320667,0.56209758157095646158296631256234832108020782470703125
39,0.500000508285618143796129010978791630,-1.346230429365697156203870989021208370,0.129119402857373721804634669751976616680622100830078125,1.84623426268651816561433841208344426,-2.09010334701904743438566158791655574,0.320167760718917226991919733336544595658779144287109375,3.93634740980725718738624691909762359,-2.86331786800821381261375308090237641,0.456869563410707169026636620401404798030853271484375,6.79968578543987114048239338096806749,-3.64836078984795685951760661903193251,0.56209777957202422538074415570008568465709686279296875
40,0.500000471325671421628220732496706711,-1.346230466325643878371779267503293289,0.1291194147806673242495634212900768034160137176513671875,1.84623402057799639712369090204142486,-2.09010358912756920287630909795857514,0.320167811025706627869880094294785521924495697021484375,3.93634669471148014841010428896420927,-2.86331858310399085158989571103579073,0.45686967187303151316513094570836983621120452880859375,6.79968428466750918390346870705864871,-3.64836229062031881609653129294135129,0.562097958221302373971184351830743253231048583984375
41,0.500000437864171197272015455877817201,-1.346230499787144102727984544122182799,0.129119425575360435853866647448739968240261077880859375,1.84623380142379801365759714917577816,-2.09010380828176758634240285082422184,0.320167856562901420591771284307469613850116729736328125,3.93634604758704028366397907928834887,-2.86331923022843071633602092071165113,0.456869770025763510812311096742632798850536346435546875,6.79968292704799175234277641295605676,-3.64836364823983624765722358704394324,0.56209811982985657952127667158492840826511383056640625
42,0.500000407496768541233906735593610504,-1.346230530154546758766093264406389496,0.12911943537189618513849609371391125023365020751953125,1.84623360256584832204538813234144957,-2.09010400713971727795461186765855043,0.3201678978828137456247304726275615394115447998046875,3.93634546053972969871782825118314767,-2.86331981727574130128217174881685233,0.456869859066265482372415362988249398767948150634765625,6.79968169588797071234144197729120723,-3.64836487939985728765855802270879277,0.56209826638485071992334951573866419494152069091796875
43,0.500000379873927050613264678947554666,-1.346230557777388249386735321052445334,0.1291194442830353172890767154967761598527431488037109375,1.84623342170716228880081984703567645,-2.09010418799840331119918015296432355,0.320167935462726316320214436927926726639270782470703125,3.93634492675130008194356734903645178,-2.86332035106417091805643265096354822,0.45686994002870162656648744814447127282619476318359375,6.79968057677974684835629866573764382,-3.64836599850808115164370133426235618,0.56209839960136498415721462151850573718547821044921875
44,0.500000354692445993451223549626800532,-1.346230582958869306548776450373199468,0.1291194524065903959098022824036888778209686279296875,1.84623325685587014815623350825873953,-2.09010435284969545184376649174126047,0.320167969716522893275367778187501244246959686279296875,3.93634444031206215991540663437325912,-2.86332083750340884008459336562674088,0.456870013809429209583612419010023586452007293701171875,6.79967955724387433393377819861751721,-3.64836701804395366606622180138248279,0.56209852096494028472761783632449805736541748046875
45,0.500000331688449270504869212029953557,-1.346230605962866029495130787970046443,0.1291194598276881599918652909764205105602741241455078125,1.84623310627894680856830090537507898,-2.09010450342661879143169909462492102,0.320168001004302593681671851300052367150783538818359375,3.93634399608262124978949663574537161,-2.86332128173284975021050336425462839,0.456870081187970067393422368695610202848911285400390625,6.79967862643430919275931109556401434,-3.64836794885351880724068890443598566,0.56209863176667818063236836678697727620601654052734375
46,0.500000310631561081523751457248079302,-1.346230627019754218476248542751920698,0.1291194666206478824932446514139883220195770263671875,1.84623296846379224929494622812455269,-2.09010464124177335070505377187544731,0.32016802964036317202811687820940278470516204833984375,3.93634358957916205713222140647461762,-2.86332168823630894286777859352538238,0.456870142844409965476870638667605817317962646484375,6.79967777489403887032692110869388341,-3.64836880039378912967307889130611659,0.562098733132330607986659742891788482666015625
47,0.500000291320047010758052649987422802,-1.346230646331268289241947350012577198,0.129119472850549199538505718010128475725650787353515625,1.84623284208619508927230243717089617,-2.09010476761937051072769756282910383,0.32016805589985775082340069275232963263988494873046875,3.93634321687786200258672018209689592,-2.86332206093760899741327981790310408,0.456870199373897445394021588072064332664012908935546875,6.79967699435166350515828138693528714,-3.64836958093616449484171861306471286,0.5620988260465147323685641822521574795246124267578125
48,0.500000273576744162796904255769240017,-1.346230664074571137203095744230759983,0.129119478574544921389843921133433468639850616455078125,1.84623272598351027920109504623982615,-2.09010488372205532079890495376017385,0.3201680800243680291572445639758370816707611083984375,3.93634287453491608330022122152475443,-2.86332240328055491669977877847524557,0.456870251298773621950743972774944268167018890380859375,6.79967627755135913962769330259852591,-3.64837029773646886037230669740147409,0.562098911372954201937091056606732308864593505859375
