Matrix size,Eigenvalue 1,Eigenvalue 2,Difference,Log(Adjusted Eigenvalue)
1,0.536844929114528343918880273712156099,,,
2,0.503227070346064374012295817994211804,1.90850862679815670935783502815494480,1.405281556452092335345539210160732996,0.147763346421218966231236890962463803589344024658203125
3,0.500966546529793417523068733672653522,1.85538194129764085294856945985748542,1.354415394767847435425500726184831898,0.1317518814747190847302960037268348969519138336181640625
4,0.500417399452992985002890011285029941,1.84955906520274977931465281201352159,1.349141665749756794311762800728491649,0.130057554878058978520272148671210743486881256103515625
5,0.500217960522471971158284126805621138,1.84784587546169504262572145816733936,1.347627914939223071467437331361718222,0.1295699984344199362507055184323689900338649749755859375
6,0.500128104671212273503428080419334000,1.84714396797449172464550712735039655,1.347015863303279451142079046931062550,0.1293727102771891901422662840559496544301509857177734375
7,0.500081664405705688082489478314484013,1.84679963492977472800226136227299362,1.346717970524069039919771883958509607,0.1292766553595780798513459330933983437716960906982421875
8,0.500055247114567288987596029634417437,1.84660993469649944981989885767433568,1.346554687581932160832302828039918243,0.12922399609343770965352860002894885838031768798828125
9,0.500039112799761668449755917251697326,1.84649650245800814896819297263815928,1.346457389658246480518437055386461954,0.1291926141685419693327929735460202209651470184326171875
10,0.500028702462125662622459941835775763,1.84642438541629276263537507763443352,1.346395682954167100012915135798657757,0.12917271046019973557150706255924887955188751220703125
11,0.500021684846014881365774260789054630,1.84637628998609671799890080257128245,1.346354605140081836633126541782227820,0.1291594601650898621603147375935805030167102813720703125
12,0.500016782142915590632051615666073333,1.84634295848874310602578244272404253,1.346326176345827515393730827057969197,0.1291502897735921362443178850298863835632801055908203125
13,0.500013253553626604355940791180734371,1.84631911722079254550608900469747868,1.346305863667165941150148213516744309,0.1291437373118190790055592742646695114672183990478515625
14,0.500010649244328532923553566068974014,1.84630160651569080500023731016405428,1.346290957271362272076683744095080266,0.129138928745313796841998055242584086954593658447265625
15,0.500008685217152308322732484229013635,1.84628845238185487323124215825171297,1.346279767164702564908509674022699335,0.129135318959669120886246673762798309326171875
16,0.500007176117252987607155081187815839,1.84627837721388678288384862439081051,1.346271201096633795276693543202994671,0.12913255563512093804234837080002762377262115478515625
17,0.500005997450135143696523968541544348,1.84627052871160605241727455407935547,1.346264531261470908720750585537811122,0.1291304040034292055505460439235321246087551116943359375
18,0.500005063479129144146934039531041696,1.84626432318555584438265108667231161,1.346259259706426700235717047141269914,0.129128703437384473318161326460540294647216796875
19,0.500004313843542940770713479940647869,1.84625935161254100585006509294654817,1.346255037768998065079351613005900301,0.1291273414656914086950934006381430663168430328369140625
20,0.500003705208701022401177514535246355,1.84625532149156727549960073687613420,1.346251616282866253098423222340887845,0.12912623771165254726867033241433091461658477783203125
21,0.500003205914901272780189665060894671,1.84625201983618461274276587092859380,1.346248813921283339962576205867699129,0.1291253336819573049876197501362184993922710418701171875
22,0.500002792465696977076209863467516149,1.84624928902791149859804421639993404,1.346246496562214521521834352932417891,0.1291245861105485281949967202308471314609050750732421875
23,0.500002447173571292185332793706633826,1.84624701070798651070511668214732162,1.346244563534415218519783888440687794,0.1291239625219921249854593270356417633593082427978515625
24,0.500002156550866680129296269979067748,1.84624509481514085731047581727917403,1.346242938264274177181179547300106282,0.1291234382143744696680442984870751388370990753173828125
25,0.500001910190685001506719258420891583,1.84624347198971426708872195710148393,1.346241561799029265582002698680592347,0.1291229941700277883409597734498674981296062469482421875
26,0.500001699976071083889884891624105283,1.84624208822341036578157180579554389,1.346240388247339281891686914171438607,0.1291226155847427781164782345513231121003627777099609375
27,0.500001519512977877991213953803911084,1.84624090103399081950155267186879529,1.346239381521012941510338718064884206,0.1291222908167031502291166589202475734055042266845703125
28,0.500001363718209497390346320200657749,1.84623987669249316783529619565201723,1.346238512974283670444949875451359481,0.129122010624949268287053882886539213359355926513671875
29,0.500001228516266023447673726119645193,1.84623898818784012686662503343405688,1.346237759671574103418951307314411687,0.1291217676105811396070066621177829802036285400390625
30,0.500001110613747605615316278364894122,1.84623821371521870958617369714350724,1.346237103101471103970857418778613118,0.129121555801901599647152352190460078418254852294921875
31,0.500001007329687287633530249940308182,1.84623753554125611836151026695960501,1.346236528211568830727980017019296828,0.1291213703430660608706403991163824684917926788330078125
32,0.500000916466683168936225610104280058,1.84623693914347710978832034198471548,1.346236022676793940852094731880435422,0.1291212072580510683561527685014880262315273284912109375
33,0.500000836212115103748288501974367938,1.84623641255162097082684461087246695,1.346235576339505867078556108898099012,0.1291210632700355021018623347117681987583637237548828125
34,0.500000765061769000027782808462615237,1.84623594583904581536614461673397356,1.346235180777276815338361808271358323,0.12912093566196924943056956180953420698642730712890625
35,0.500000701760308362022037800046898082,1.84623553072679815533149539189027346,1.346234828966489793309457591843375378,0.1291208221680525680685747147435904480516910552978515625
36,0.500000645254524630382253703943360183,1.84623516027301711271916958321792908,1.346234515018492482336915879274568897,0.1291207208886206159181853081463486887514591217041015625
37,0.500000594656360973598506935731152059,1.84623482862751826382276585931494645,1.346234233971157290224258923583794391,0.1291206302229021274374787253691465593874454498291015625
38,0.500000549213469502074244586126756210,1.84623453083655776946500874030044865,1.346233981623088267390764154173692440,0.1291205488155352243406781553858309052884578704833984375
39,0.500000508285618143796129010978791630,1.84623426268651816561433841208344426,1.346233754400900021818209401104652630,0.1291204755137524973207518996787257492542266845703125
40,0.500000471325671421628220732496706711,1.84623402057799639712369090204142486,1.346233549252324975495470169544718149,0.1291204093328975066601316257219878025352954864501953125
41,0.500000437864171197272015455877817201,1.84623380142379801365759714917577816,1.346233363559626816385581693297960959,0.1291203494284925701318655910654342733323574066162109375
42,0.500000407496768541233906735593610504,1.84623360256584832204538813234144957,1.346233195069079780811481396747839066,0.1291202950734889054462684043755871243774890899658203125
43,0.500000379873927050613264678947554666,1.84623342170716228880081984703567645,1.346233041833235238187555168088121784,0.129120245639642139412472943149623461067676544189453125
44,0.500000354692445993451223549626800532,1.84623325685587014815623350825873953,1.346232902163424154705009958631938998,0.12912020058218953710849064009380526840686798095703125
45,0.500000331688449270504869212029953557,1.84623310627894680856830090537507898,1.346232774590497538063431693345125423,0.1291201594271854380391317818066454492509365081787109375
46,0.500000310631561081523751457248079302,1.84623296846379224929494622812455269,1.346232657832231167771194770876473388,0.1291201217609853901802097198014962486922740936279296875
47,0.500000291320047010758052649987422802,1.84623284208619508927230243717089617,1.346232550766148078514249787183473368,0.12912008722147938488689078440074808895587921142578125
48,0.500000273576744162796904255769240017,1.84623272598351027920109504623982615,1.346232452406766116404190790470586133,0.1291200554907517561442631404133862815797328948974609375
49,0.500000257245639067094701477854181989,1.84623261913211506372895132486494872,1.346232361886475996634249847010766731,0.12912002628891239286446079859160818159580230712890625
50,0.500000242188979628340553906490179497,1.84623252062839037960459952446308997,1.346232278439410751264045617972910473,0.1291199993688931513258211225547711364924907684326171875
51,0.500000228284829158600065763982180647,1.84623242967261925191022238190940021,1.346232201387790093310156617927219563,0.129119974512042545722323438894818536937236785888671875
52,0.500000215424987792532593916084191259,1.84623234555530824964465168482053444,1.346232130130320457112057768736343181,0.12911995152438360268121186891221441328525543212890625
53,0.500000203513220352578262092504081371,1.84623226764552929326770024299704599,1.346232064132308940689438150492964619,0.12911993023342471786918395082466304302215576171875
54,0.500000192463740756719384084167731588,1.84623219538095213575692724360624248,1.346232002917211379037543159438510892,0.12911991048543303151063810219056904315948486328125
55,0.500000182199911931586459365384907505,1.84623212825929655717730105417868125,1.346231946059384625590841688793773745,0.1291198921430960766532081152035971172153949737548828125
