Matrix size,Eigenvalue 2,Adjusted Eigenvalue,Log(Adjusted Eigenvalue)
120,1.84623105301337014304196908698703271,1.153620856455004454904301125363612916233779E-7,-6.9379369008896940584918411332182586193084716796875
121,1.84623105018200222601043784831018951,1.125307177284689142517532693363612916233779E-7,-6.94872891116143254208736834698356688022613525390625
122,1.84623104744254000417674185623344047,1.097912555066352182596765202963612916233779E-7,-6.9594322485603132832920891814865171909332275390625
123,1.84623104479128432964410111432303999,1.071399998321025775177661198163612916233779E-7,-6.9700483586437353977771635982207953929901123046875
124,1.84623104222471329920171046269845545,1.045734288016601868661415352763612916233779E-7,-6.98057865190052506676465782220475375652313232421875
125,1.84623103973947242440484138353710959,1.020881879268633177869801894163612916233779E-7,-6.991024504876353518056930624879896640777587890625
126,1.84623103733236541981950740560684729,9.96810809222779838090499271163612916233779E-8,-7.0013872612543739393231589929200708866119384765625
127,1.84623103500034556603840357767949125,9.73490610684968799811225710763612916233779E-8,-7.01166823289317608924875457887537777423858642578125
128,1.84623103274050760743323891528475691,9.50892231098917153187278367363612916233779E-8,-7.021868700824082765166167519055306911468505859375
129,1.84623103055008014768328580713149975,9.28987956501417622105745795763612916233779E-8,-7.03198991620967461813052068464457988739013671875
130,1.84623102842641850893690985273451558,9.07751340113953862561775954063612916233779E-8,-7.04203310126534187673996711964718997478485107421875
131,1.84623102636699802304538151365628786,8.87157135255038579170993676863612916233779E-8,-7.051999450145562065017657005228102207183837890625
132,1.84623102436940772567752674673383770,8.67181232281360031501769175263612916233779E-8,-7.06189012979651220547339107724837958812713623046875
133,1.84623102243134442629887972954838523,8.47800599287573561329914650563612916233779E-8,-7.0717062807765334042642280110158026218414306640625
134,1.84623102055060712899711113306894448,8.28993226314555875365120243063612916233779E-8,-7.081449018045901766527094878256320953369140625
135,1.84623101872509178097224827009738710,8.10738072834307246735404669263612916233779E-8,-7.091119431727264554865541867911815643310546875
136,1.84623101695278632719971370924474254,7.93015018296581901126878223663612916233779E-8,-7.1007185878380436605539216543547809123992919921875
