Eigenstate,Energy
1,0.5000000000000308
2,1.8462309376513153
3,3.9363376097055656
4,6.799665277815471
5,10.448046575287828
6,14.887065996873584
7,20.119720824009175
8,26.147783843070638
9,32.97238355306372
10,40.594280208136695
11,49.014009378430366
12,58.231962159249214
13,68.24843268065894
14,79.06364764034258
15,90.67778541941472
16,103.09098888729196
17,116.30337423515432
18,130.3150372269515
19,145.12605772250683
20,160.7365030151513
21,177.14643033780513
22,194.35588877413647
23,212.36492073649825
24,231.1735631233281
25,250.78184823594472
26,271.1898045123552
27,292.3974571202177
28,314.4048284402005
29,337.2119384631839
30,360.81880511910214
31,385.2254445510759
32,410.4318713454094
33,436.43809872571416
34,463.2441387176741
35,490.850002289624
36,519.2556994730832
37,548.4612394665784
38,578.4666307254648
39,609.2718810399505
40,640.8769976031358
41,673.2819870705672
42,706.4868556125405
43,740.4916089601913
44,775.2962524462373
45,810.9007910410986
46,847.3052293850151
47,884.5095718166784
48,922.5138223988263
49,961.3179849411736
50,1000.9220630210121
51,1041.3260600017516
52,1082.5299790496488
53,1124.533823148931
54,1167.337595115497
55,1210.9412976093483
56,1255.3449331458996
57,1300.548504106274
58,1346.5520127467037
59,1393.3554612071175
60,1440.9588515190053
61,1489.362185612625
62,1538.5654653236256
63,1588.5686923991314
64,1639.3718685033489
65,1690.9749952227332
66,1743.3780740707616
67,1796.5811064923428
68,1850.5840938679005
69,1905.3870375171543
70,1960.9899387026323
71,2017.3927986329284
72,2074.595618465732
73,2132.5983993106497
74,2191.4011422318335
75,2251.0038482504287
76,2311.4065183468642
77,2372.6091534629886
78,2434.6117545040684
79,2497.41432234066
80,2561.0168578103626
81,2625.419361719461
82,2690.621834844468
83,2756.6242779335744
84,2823.426691708009
85,2891.029076863318
86,2959.431434070574
87,3028.633763977508
88,3098.636067209581
89,3169.4383443709958
90,3241.040596045645
91,3313.442822798017
92,3386.6450251740434
93,3460.6472037019043
94,3535.4493588927903
95,3611.051491241624
96,3687.453601227743
97,3764.655689315548
98,3842.657755955114
99,3921.459801582781
100,4001.0618266216984
101,4081.46383148236
102,4162.665816563096
103,4244.667782250557
104,4327.469728920159
105,4411.071656936519
106,4495.473566653864
107,4580.675458416423
108,4666.677332558797
109,4753.479189406323
110,4841.081029275399
111,4929.4828524738205
112,5018.684659301087
113,5108.6864500486945
114,5199.488225000421
115,5291.089984432593
116,5383.491728614352
117,5476.693457807891
118,5570.6951722687
119,5665.496872245789
120,5761.098557981906
121,5857.500229713747
122,5954.70188767215
123,6052.703532082295
124,6151.50516316388
125,6251.106781131302
126,6351.508386193826
127,6452.709978555742
128,6554.711558416532
129,6657.51312597101
130,6761.114681409469
131,6865.516224917825
132,6970.717756677744
133,7076.719276866771
134,7183.520785658459
135,7291.122283222483
136,7399.523769724757
137,7508.725245327542
138,7618.726710189553
139,7729.528164466067
140,7841.129608309013
141,7953.531041867072
142,8066.7324652857715
143,8180.733878707568
144,8295.535282271938
145,8411.136676115459
146,8527.538060371886
147,8644.739435172238
148,8762.740800644857
149,8881.542156915499
150,9001.143504107384
151,9121.544842341276
152,9242.746171735553
153,9364.74749240625
154,9487.548804467135
155,9611.150108029768
156,9735.55140320355
157,9860.75269009579
158,9986.753968811736
159,10113.55523945466
160,10241.156502125876
161,10369.557756924807
162,10498.75900394903
163,10628.760243294311
164,10759.561475054668
165,10891.162699322393
166,11023.563916188104
167,11156.76512574079
168,11290.766328067843
169,11425.567523255097
170,11561.16871138686
171,11697.569892545964
172,11834.771066813788
173,11972.772234270287
174,12111.573394994048
175,12251.174549062285
176,12391.575696550908
177,12532.77683753453
178,12674.7779720865
179,12817.57910027893
180,12961.180222182737
181,13105.581337867647
182,13250.782447402236
183,13396.783550853956
184,13543.584648289148
185,13691.185739773084
186,13839.586825369965
187,13988.787905142968
188,14138.78897915426
189,14289.590047465012
190,14441.191110135427
191,14593.592167224764
192,14746.793218791345
193,14900.794264892585
194,15055.595305585017
195,15211.196340924287
196,15367.5973709652
197,15524.798395761713
198,15682.799415366964
199,15841.600429833294
200,16001.201439212255
201,16161.60244355462
202,16322.80344291041
203,16484.80443732891
204,16647.605426858667
205,16811.20641154752
206,16975.607391442616
207,17140.808366590405
208,17306.809337036673
209,17473.610302826542
210,17641.211264004494
211,17809.61222061437
212,17978.81317269939
213,18148.81412030216
214,18319.6150634647
215,18491.21600222843
216,18663.616936634193
217,18836.81786672227
218,19010.81879253239
219,19185.619714103723
220,19361.22063147492
221,19537.621544684087
222,19714.822453768837
223,19892.82335876625
224,20071.624259712928
225,20251.22515664497
226,20431.62604959801
227,20612.826938607184
228,20794.827823707197
229,20977.62870493227
230,21161.229582316195
231,21345.630455892315
232,21530.831325693543
233,21716.832191752364
234,21903.633054100846
235,22091.23391277066
236,22279.634767793046
237,22468.835619198875
238,22658.836467018617
239,22849.637311282346
240,23041.23815201978
241,23233.638989260256
242,23426.839823032744
243,23620.84065336586
244,23815.641480287868
245,24011.24230382668
246,24207.643124009872
247,24404.84394086468
248,24602.844754418016
249,24801.645564696457
250,25001.246371726265
251,25201.64717553339
252,25402.847976143476
253,25604.84877358185
254,25807.649567873545
255,26011.250359043304
256,26215.65114711557
257,26420.85193211451
258,26626.852714064
259,26833.653492987647
260,27041.254268908775
261,27249.65504185045
262,27458.855811835463
263,27668.856578886356
264,27879.657343025403
265,28091.258104274635
266,28303.658862655822
267,28516.859618190505
268,28730.86037089997
269,28945.661120805264
270,29161.261867927213
271,29377.6626122864
272,29594.863353903183
273,29812.8640927977
274,30031.664828989866
275,30251.265562499368
276,30471.666293345705
277,30692.867021548132
278,30914.867747125714
279,31137.668470097316
280,31361.269190481584
281,31585.669908296975
282,31810.870623561743
283,32036.87133629396
284,32263.67204651149
285,32491.272754232017
286,32719.673459473044
287,32948.87416225189
288,33178.874862585675
289,33409.67556049136
290,33641.27625598574
291,33873.6769490854
292,34106.877639806786
293,34340.87832816616
294,34575.67901417963
295,34811.27969786313
296,35047.680379232435
297,35284.88105830315
298,35522.88173509075
299,35761.68240961053
300,36001.28308187763
301,36241.683751907054
302,36482.88441971366
303,36724.885085312126
304,36967.685748717035
305,37211.286409942775
306,37455.68706900363
307,37700.88772591373
308,37946.88838068706
309,38193.68903333748
310,38441.28968387872
311,38689.69033232437
312,38938.89097868787
313,39188.89162298257
314,39439.69226522165
315,39691.292905418224
316,39943.6935435852
317,40196.89417973544
318,40450.894813881634
319,40705.69544603637
320,40961.29607621212
321,41217.69670442125
322,41474.89733067597
323,41732.89795498843
324,41991.698577370626
325,42251.299197834465
326,42511.69981639174
327,42772.900433054114
328,43034.901047833184
329,43297.70166074041
330,43561.30227178716
331,43825.70288098469
332,44090.90348834417
333,44356.90409387664
334,44623.70469759308
335,44891.30529950433
336,45159.705899621185
337,45428.90649795428
338,45698.90709451421
339,45969.70768931144
340,46241.30828235637
341,46513.70887365928
342,46786.90946323038
343,47060.9100510798
344,47335.71063721755
345,47611.31122165357
346,47887.71180439772
347,48164.91238545977
348,48442.91296484939
349,48721.713542576195
350,49001.314118649694
351,49281.71469307933
352,49562.91526587446
353,49844.91583704435
354,50127.71640659819
355,50411.31697454513
356,50695.717540894184
357,50980.91810565433
358,51266.918668834456
359,51553.719230443385
360,51841.31979048985
361,52129.720348982526
362,52418.92090593002
363,52708.92146134084
364,52999.72201522346
365,53291.322567586256
366,53583.72311843755
367,53876.923667785595
368,54170.92421563857
369,54465.7247620046
370,54761.32530689172
371,55057.72585030793
372,55354.926392261135
373,55652.926932759205
374,55951.72747180993
375,56251.32800942104
376,56551.7285456002
377,56852.92908035503
378,57154.929613693064
379,57457.7301456218
380,57761.33067614867
381,58065.731205281016
382,58370.931733026184
383,58676.93225939142
384,58983.73278438391
385,59291.333308010806
386,59599.7338302792
387,59908.934351196105
388,60218.93487076851
389,60529.73538900334
390,60841.33590590746
391,61153.73642148769
392,61466.93693575078
393,61780.937448703466
394,62095.737960352395
395,62411.338470704184
396,62727.73897976538
397,63044.93948754252
398,63362.93999404204
399,63681.74049927037
400,64001.34100323387
401,64321.74150593886
402,64642.9420073916
403,64964.94250759832
404,65287.74300656521
405,65611.34350429838
406,65935.74400080393
407,66260.94449608789
408,66586.94499015626
409,66913.74548301501
410,67241.34597467002
411,67569.74646512719
412,67898.9469543923
