n,Ecorr
1,1.077152528165371
2,1.7839222888464954
3,3.7528340257607637
4,6.544793864367029
5,10.141581549841328
6,14.539983267229944
7,19.73907437034314
8,25.73850868170225
9,32.53813288526021
10,40.13787061066903
