Eigenstate,Potential Energy
1,0.500000000000030689828436286854532810
2,0.64623093765131520967594916235360147
3,0.73633760970556589167263549498642586
4,0.79966527781547135606476808385020286
5,0.8480465752878278125809600409357374
6,0.8870659968735847230937604460240200
7,0.9197208240091743710359572245702272
8,0.9477838430706350697886085237085983
9,0.9723835530637258816629045583843710
10,0.9942802081366955061603380124271915
11,1.0140093784303671693959126648900799
12,1.0319621592492171444553999981086236
13,1.0484326806589376362932270571668866
14,1.0636476403425816706426125846561791
15,1.0777854194147379409275201766195127
16,1.090988887291969635455005070571392
17,1.103374235154314814933440022921391
18,1.115037226951483309064007474824889
19,1.126057722506832634184803694698771
20,1.136503015151303282587791753922947
21,1.146430337805115099657533244416346
22,1.155888774136506848048669343844370
23,1.164920736498260450651905352509171
24,1.173563123328122845887629353750061
25,1.181848235944732151982561877072000
26,1.189804512355205245306867786017463
27,1.197457120217713463836120363239697
28,1.204828440200522342538298742545926
29,1.211938463183943469329372475832343
30,1.218805119102158983287097200428481
31,1.225444551075940738400306851525513
32,1.231871345409386572610444600586638
33,1.238098725714148318658194052185446
34,1.244138717674079927756629488521574
35,1.250002289624039011921044293714237
36,1.255699473083096232630932668737215
37,1.261239466578322415292372095046994
38,1.266630725464904526071725428051302
39,1.271881039950492998346376101517321
40,1.276997603135862112626109322606499
41,1.281987070567214860200164524676905
42,1.286855612540471119357881485629994
43,1.291608960191391628194123490904918
44,1.296252446237296222571402477235778
45,1.300791041098565238866775152728893
46,1.305229385014976698581963059346990
47,1.309571816678455279600081180120631
48,1.313822398826222714654394634571122
49,1.317984941173676713703222148813404
50,1.32206302101220279327284065868978
51,1.32606000175165643337528235934769
52,1.32997904964890776832329040352195
53,1.33382314893139089923106033888144
54,1.33759511549703878454367790618560
55,1.34129760934850917243520053552173
56,1.34493314589953246879764651490761
57,1.34850410627401346943059595169203
58,1.35201274670372169875551409171417
59,1.35546120711765115010861289018902
60,1.35885151900510571496768779972377
61,1.36218561262500236096732850173240
62,1.36546532362558311344637216423190
63,1.36869239913148500625354582970571
64,1.37186850334880468761739363222079
65,1.37499522273325952691559831056985
66,1.37807407076169972912656547453174
67,1.38110649234296367242167734897505
68,1.38409386790031252354940487783343
69,1.38703751715436751493668050654498
70,1.38993870263254499917011857061856
71,1.39279863292838569278902970492772
72,1.39561846573187627894345145886727
73,1.39839931064980853206724614161706
74,1.40114223183340227916434182905878
75,1.40384825042878741120349487651378
76,1.40651834686449060136228347217420
77,1.40915346298876998844316027482331
78,1.41175450406847528560459414302422
79,1.41432234066006395455833070223153
80,1.41685781036246595973967627660419
81,1.41936171946064027548116479465625
82,1.42183484446790486866676976174587
83,1.42427793357443314555427088409233
84,1.42669170800868555973738234771948
85,1.42907686331798580204568505742220
86,1.43143407057393512779126230267540
87,1.43376397750790090597102467636418
88,1.43606720958139209729823345028026
89,1.43834437099575086577523733953052
90,1.44059604564524631179022633878537
91,1.44282279801733486267016462971665
92,1.44502517404356355908303371415980
93,1.44720370190433022062686605473073
94,1.44935889279047154520503212354893
95,1.45149124162442904275822701220206
96,1.45360122774354088180730479534613
97,1.45568931554782338515133808046059
98,1.45775595511443303677086769126460
99,1.45980158278084638979690342508727
100,1.46182662169864892499047427994855
101,1.46383148235969460502283369543969
102,1.46581656309627229512550929526895
103,1.46778225055680730706650731726394
104,1.46972892015851905869841244870837
105,1.47165693651836276756754293522384
106,1.47356665386349233282933191643272
107,1.47545841642240347775985889912831
108,1.47733255879783698559905615620871
109,1.47918940632245326792688202037452
110,1.48102927539822708464883894210047
111,1.48285247382044537346856339583928
112,1.48465930108714171309181457979388
113,1.48645004869474540861214261492304
114,1.48822500042067442977210112903465
115,1.48998443259356098429136404619305
116,1.49172861435175017680488354372771
117,1.49345780789068049094745350695796
118,1.49517226869971380101543914034842
119,1.49687224578894890592024570870276
120,1.49855798190652673591298092514036
121,1.50022971374689711531564341286272
122,1.50188767215049805136135543641527
123,1.50353208229526632631413664750519
124,1.50516316388038049023010628993701
125,1.50678113130260778545883037235348
126,1.50838619382561133668603860510163
127,1.50997855574255336243249446156689
128,1.51155841653230757673391423841032
129,1.51312597100958187648877316357155
130,1.51468140946923402809351729809617
131,1.51622491782504766286663888470990
132,1.51775667774322091356222371201965
133,1.51927686677080824268986229171048
134,1.52078565845934473739853927138631
135,1.52228322248386403733997445867025
136,1.52376972475751737439651510072525
137,1.52524532754198789521478515613514
138,1.52671018955388082549605681735317
139,1.52816446606726792908849647299209
140,1.52960830901254926895815042665526
141,1.53104186707179071962578931433317
142,1.53246528577068760738933432570888
143,1.53387870756729620448256427989424
144,1.53528227193766762368365469753038
145,1.53667611545851447212815264891901
146,1.53806037188703275432986420870847
147,1.53943517223799331144728999406304
148,1.54080064485821812579992009081182
149,1.54215691549854329156417996087948
150,1.54350410738337229250205085406367
151,1.54484234127791550095104418288290
152,1.54617173555320619722014309872193
153,1.54749240624898205905920425468586
154,1.54880446713451602041763472346465
155,1.55010802976747473545812372547260
156,1.55140320355088251416125177880820
157,1.55269009578826177609691820937836
158,1.55396881173702184043570330490131
159,1.5552394546601597250056324437023
160,1.5565021258763392919038349910544
161,1.5577569248084072357539975530346
162,1.5590039490304053756807696192379
163,1.5602432943131341042704745175120
164,1.5614750546683216300827911735761
165,1.5626993223914476139008804562978
166,1.5639161881032717142787347071154
167,1.5651257407901142746748622593144
168,1.5663280678429318410555632954182
169,1.5675232550952325720284624163007
170,1.5687113868598712845914825577804
171,1.5698925459647643299281025404901
172,1.5710668137875621658763553008916
173,1.5722342702893150283722760944778
