Matrix size,Lowest energy,Difference,Log
1,0.536844929114528343918880273712156099,0.036844929114528343918880273712156099,1.4336222746737941106991255359955150352546498556592
2,0.503227070346064374012295817994211804,0.003227070346064374012295817994211804,2.4911915674208259836747357159920445745369637283374
3,0.500966546529793417523068733672653522,0.000966546529793417523068733672653522,3.0147772340864191169955919828499186538530423253703
4,0.500417399452992985002890011285029941,0.000417399452992985002890011285029941,3.3794481244183458933985591792164926063097983289006
5,0.500217960522471971158284126805621138,0.000217960522471971158284126805621138,3.6616221597217640540743227622269893582659899557623
6,0.500128104671212273503428080419334000,0.000128104671212273503428080419334000,3.8924350338405847469149729859501322828334357857686
7,0.500081664405705688082489478314484013,0.000081664405705688082489478314484013,4.0879671940670005680172841237984154536018085323176
8,0.500055247114567288987596029634417437,0.000055247114567288987596029634417437,4.2576903992759330262339955318711241039674118757840
9,0.500039112799761668449755917251697326,0.000039112799761668449755917251697326,4.4076810953870830421353695830952715315685617708896
10,0.500028702462125662622459941835775763,0.000028702462125662622459941835775763,4.5420808474567587881371227238818886179352067693307
11,0.500021684846014881365774260789054630,0.000021684846014881365774260789054630,4.6638436574499556601832124774332586391351501522824
12,0.500016782142915590632051615666073333,0.000016782142915590632051615666073333,4.7751525848067342888149179551485226601323443119504
13,0.500013253553626604355940791180734371,0.000013253553626604355940791180734371,4.8776676603306370205357095202074978632664389539326
14,0.500010649244328532923553566068974014,0.000010649244328532923553566068974014,4.9726812087127543543805311106227563581818546272092
15,0.500008685217152308322732484229013635,0.000008685217152308322732484229013635,5.0612193186250278811426793956639655195356550380089
16,0.500007176117252987607155081187815839,0.000007176117252987607155081187815839,5.1441104738227319278242023409661392871309282630321
17,0.500005997450135143696523968541544348,0.000005997450135143696523968541544348,5.2220333542183161894291247342919961977803811827676
18,0.500005063479129144146934039531041696,0.000005063479129144146934039531041696,5.2955509757736902579949855998127767316521363152330
19,0.500004313843542940770713479940647869,0.000004313843542940770713479940647869,5.3651356102000153661231967817378618787421836891617
20,0.500003705208701022401177514535246355,0.000003705208701022401177514535246355,5.4311873247562586196621455675817650054173704004984
21,0.500003205914901272780189665060894671,0.000003205914901272780189665060894671,5.4940480098665136801507197320180017533426783489840
22,0.500002792465696977076209863467516149,0.000002792465696977076209863467516149,5.5540121531112146294225101049932086803511428814184
23,0.500002447173571292185332793706633826,0.000002447173571292185332793706633826,5.6113352262423815307110230603232256489331354758518
24,0.500002156550866680129296269979067748,0.000002156550866680129296269979067748,5.6662402936701469962483105695629490282660539635052
25,0.500001910190685001506719258420891583,0.000001910190685001506719258420891583,5.7189232770923940206325951626959496594717726563436
26,0.500001699976071083889884891624105283,0.000001699976071083889884891624105283,5.7695571917213523329111709835254551953327381475620
27,0.500001519512977877991213953803911084,0.000001519512977877991213953803911084,5.8182955863397281142059230225465573509331976608262
28,0.500001363718209497390346320200657749,0.000001363718209497390346320200657749,5.8652753604005105284292926450961782960599723724948
29,0.500001228516266023447673726119645193,0.000001228516266023447673726119645193,5.9106190889214184074396926566238421286263900352328
30,0.500001110613747605615316278364894122,0.000001110613747605615316278364894122,5.9544369549654643789155811180462269977169578548038
31,0.500001007329687287633530249940308182,0.000001007329687287633530249940308182,5.9968283666495419043219909770929671082467403439308
32,0.500000916466683168936225610104280058,9.16466683168936225610104280058E-7,6.0378833185674360139394227520104127117235772577991
33,0.500000836212115103748288501974367938,8.36212115103748288501974367938E-7,6.0776835446490449898354023829345583613806680993712
34,0.500000765061769000027782808462615237,7.65061769000027782808462615237E-7,6.1163034996791808702216221262887640965938083241066
35,0.500000701760308362022037800046898082,7.01760308362022037800046898082E-7,6.1538111991682471797435667137167219587102565009901
36,0.500000645254524630382253703943360183,6.45254524630382253703943360183E-7,6.1902689414293967024959124410565641700104175271284
37,0.500000594656360973598506935731152059,5.94656360973598506935731152059E-7,6.2257339311555916619122099711369340572238744633002
38,0.500000549213469502074244586126756210,5.49213469502074244586126756210E-7,6.2602588201995000859023709550792213127127814831675
39,0.500000508285618143796129010978791630,5.08285618143796129010978791630E-7,6.2938921784128821790442423195326549741459946413429
40,0.500000471325671421628220732496706711,4.71325671421628220732496706711E-7,6.3266789051308196554445469895463000297114949257828
41,0.500000437864171197272015455877817201,4.37864171197272015455877817201E-7,6.3586605900623148863874042166515629176579792984094
42,0.500000407496768541233906735593610504,4.07496768541233906735593610504E-7,6.3898758308755999529383740068485330700650659868143
43,0.500000379873927050613264678947554666,3.79873927050613264678947554666E-7,6.4203605135698647326351748960408662992648303320014
44,0.500000354692445993451223549626800532,3.54692445993451223549626800532E-7,6.4501480607479468814684398428076341366854749225360
45,0.500000331688449270504869212029953557,3.31688449270504869212029953557E-7,6.4792696521025455145573111526619406985386621273754
46,0.500000310631561081523751457248079302,3.10631561081523751457248079302E-7,6.5077544207671535389278689212199050733069158377614
47,0.500000291320047010758052649987422802,2.91320047010758052649987422802E-7,6.5356296286350019724741938139461984170038979351464
48,0.500000273576744162796904255769240017,2.73576744162796904255769240017E-7,6.5629208232934259163490843004700473396694203261298
49,0.500000257245639067094701477854181989,2.57245639067094701477854181989E-7,6.5896519788401648727682989197352762361075476939936
50,0.500000242188979628340553906490179497,2.42188979628340553906490179497E-7,6.6158456225285969383971558213523860067882448074775
51,0.500000228284829158600065763982180647,2.28284829158600065763982180647E-7,6.6415229489198680990193604544164771243621613087727
52,0.500000215424987792532593916084191259,2.15424987792532593916084191259E-7,6.6667039229925128804844460409508032253654069724173
53,0.500000203513220352578262092504081371,2.03513220352578262092504081371E-7,6.6914073734673466164014448151423931058974973616329
54,0.500000192463740756719384084167731588,1.92463740756719384084167731588E-7,6.7156510774413453752590806730209474051510210925065
55,0.500000182199911931586459365384907505,1.82199911931586459365384907505E-7,6.7394518372841801311585584385972019305757492835414
56,0.500000172653127359987120454616280717,1.72653127359987120454616280717E-7,6.7628255506311536970616155347183296930024645407344
57,0.500000163761846205299669128277756524,1.63761846205299669128277756524E-7,6.7857872742033031112258791626936796121271252564356
58,0.500000155470758689531631937583250768,1.55470758689531631937583250768E-7,6.8083512820967333831177033727419801155918728737071
