Matrix size,Eigenvalue 1,Adjusted Eigenvalue 1,Log(Adjusted Eigenvalue 1),Eigenvalue 2,Adjusted Eigenvalue 2,Log(Adjusted Eigenvalue 2),Eigenvalue 3,Adjusted Eigenvalue 3,Log(Adjusted Eigenvalue 3),Eigenvalue 4,Adjusted Eigenvalue 4,Log(Adjusted Eigenvalue 4)
1242,0.500000000016025774715471393046277063,1.6025774715471393046277063E-11,-10.795180966706386271880546701140701770782470703125,1.84623093775572248987257231219845689,1.046079700250594367070761216424853008326E-10,-9.9804352255448254283010101062245666980743408203125,3.93633761001225249214710518069970362,3.072672903029059726476250024775511484354E-10,-9.512483669476932135466995532624423503875732421875,6.79966527845426064412212678943126090,6.399699778857949923821682360131571043445E-10,-9.193840399054170831050214474089443683624267578125
1243,0.500000000015987135002159036992028315,1.5987135002159036992028315E-11,-10.7962293576568555408812244422733783721923828125,1.84623093775547027031644941353665261,1.043557504689365380452718416424853008326E-10,-9.98148361436932418655487708747386932373046875,3.93633761001151161917517800079272346,3.065264173309787927406448424775511484354E-10,-9.51353209078121864195054513402283191680908203125,6.79966527845271749494730252604743572,6.384268287109707289983430560131571043445E-10,-9.1948888708485707610407189349643886089324951171875
1244,0.500000000015948619407702208989431432,1.5948619407702208989431432E-11,-10.79727690568312681307361344806849956512451171875,1.84623093775521886094385689112811335,1.041043410963440156367325816424853008326E-10,-9.9825311602600805827023577876389026641845703125,3.93633761001077312605347744401008990,3.057879242092782359580112824775511484354E-10,-9.51457966919455344623202108778059482574462890625,6.79966527845117930273298285361344575,6.368886364966510565643530860131571043445E-10,-9.19593649982029859302201657555997371673583984375
1245,0.500000000015910227434131122445875341,1.5910227434131122445875341E-11,-10.798323612139579807944755884818732738494873046875,1.84623093775496825850429914346759980,1.038537386567862679762190316424853008326E-10,-9.9835778645714814416578519740141928195953369140625,3.93633761001003700323389684846327024,3.050518013896976404111916224775511484354E-10,-9.5156264060713784402878445689566433429718017578125,6.79966527844964604759144307362802526,6.353553813551112765789325960131571043445E-10,-9.1969832873238832604556591832078993320465087890625
1246,0.500000000015871958585871521049824591,1.5871958585871521049824591E-11,-10.7993694783773293011108762584626674652099609375,1.84623093775471845976291740245986158,1.036039399154045269684808116424853008326E-10,-9.9846237286546486444649417535401880741119384765625,3.93633761000930324121426185052633393,3.043180393700626424742553124775511484354E-10,-9.5166723027628759012941372930072247982025146484375,6.79966527844811770973063125506856788,6.338270434942994580194752160131571043445E-10,-9.1980292347105905292892202851362526416778564453125
1247,0.500000000015833812369731240727115761,1.5833812369731240727115761E-11,-10.800414505744239335172096616588532924652099609375,1.84623093775446946150040204217265866,1.033549416528891666812778916424853008326E-10,-9.985668753857453339151106774806976318359375,3.93633761000857183053807280043661544,3.035866286938735923845368224775511484354E-10,-9.5177173606169702679835609160363674163818359375,6.79966527844659426945363170996886270,6.323036032172999129197700360131571043445E-10,-9.199074343328437208811010350473225116729736328125
1248,0.500000000015795788294886862376650516,1.5795788294886862376650516E-11,-10.80145869558493387785347294993698596954345703125,1.84623093775422126051290545293853050,1.031067406653925774471497316424853008326E-10,-9.9867129415245248225119212293066084384918212890625,3.93633761000784276179424882876887477,3.028575599500496207167961524775511484354E-10,-9.518761580978353009641068638302385807037353515625,6.79966527844507570715813190347259823,6.307850409218001064235055660131571043445E-10,-9.200118614522192928006916190497577190399169921875
1249,0.500000000015757885872870451178037495,1.5757885872870451178037495E-11,-10.8025020492408057037891921936534345149993896484375,1.84623093775397385361195546990275665,1.028593337644425944113758816424853008326E-10,-9.9877562929972665273226084536872804164886474609375,3.93633761000711602561687354992360905,3.021308237726743418715304324775511484354E-10,-9.519804965188480849747065803967416286468505859375,6.79966527844356200333589277381210795,6.292713370995609767630152860131571043445E-10,-9.2011620496334050045561525621451437473297119140625
1250,0.500000000015720104617556377069690652,1.5720104617556377069690652E-11,-10.803544568050028829020448029041290283203125,1.84623093775372723762436935633461721,1.026127177768564808432364416424853008326E-10,-9.988798809613857798694880330003798007965087890625,3.93633761000639161268494239109638461,3.014064108407431830443059924775511484354E-10,-9.52084751458558997683212510310113430023193359375,6.79966527844205313857222244033733477,6.277624723358906432882421060131571043445E-10,-9.202204650000393115760743967257440090179443359375
1251,0.500000000015682444045148223813140688,1.5682444045148223813140688E-11,-10.8045862533475673927796378848142921924591064453125,1.84623093775348140939216833697696686,1.023668895446554614855860916424853008326E-10,-9.9898404927092681049316524877212941646575927734375,3.93633761000566951372211153669879869,3.006843118779123286467200724775511484354E-10,-9.5218892305047067026180229731835424900054931640625,6.79966527844054909354545327165328224,6.262584273091214746041895760131571043445E-10,-9.20324641695827239118443685583770275115966796875
1252,0.500000000015644903674165776031154240,1.5644903674165776031154240E-11,-10.8056271064651863156313993385992944240570068359375,1.84623093775323636577249267592254505,1.021218459249798004311642816424853008326E-10,-9.990881343615267695668080705218017101287841796875,3.93633761000494971949644847344477919,2.999645176522492653927005724775511484354E-10,-9.5229301142776616728724548011086881160736083984375,6.79966527843904984902642229446740823,6.247591827900904974183155660131571043445E-10,-9.20428735183895696536637842655181884765625
1253,0.500000000015607483025432095718592131,1.5607483025432095718592131E-11,-10.8066671287314601812568071181885898113250732421875,1.84623093775299210363751729608999632,1.018775837900044205986155516424853008326E-10,-9.991921363660441812726276111789047718048095703125,3.93633761000423222082018412984079881,2.992470189759849217887201924775511484354E-10,-9.5239701672330934201227137236855924129486083984375,6.79966527843755538587795491519246867,6.232647196416231181433760060131571043445E-10,-9.2053274559711706359621530282311141490936279296875
1254,0.500000000015570181622060675485036794,1.5570181622060675485036794E-11,-10.807706321471783894594409503042697906494140625,1.84623093775274861987436793810245170,1.016341000268550626110709316424853008326E-10,-9.99296055417018891375846578739583492279052734375,3.93633761000351700854946659207555452,2.985318067052673840234759024775511484354E-10,-9.525009390696457245439887628890573978424072265625,6.79966527843606568505435193381360690,6.217750188180201367645142360131571043445E-10,-9.2063667306804557455279791611246764659881591796875
