Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Log(Original - Constant),Error,Formula
2,0.2083214183169498,0.3008143618642685,0.0953251319936928,-1.0207925847000536,-0.3074751583471695,0.00283exp(-x^-23.60880) + 0.20549
3,0.2083214185383286,0.2667118180618078,0.06122258819123211,-1.2130883145065625,-0.21892693000183372,0.00283exp(-x^-23.60880) + 0.20549
4,0.208321418538344,0.2514843934063438,0.0459951635357681,-1.33728783266966,-0.17163281698462257,0.00283exp(-x^-23.60880) + 0.20549
5,0.20832141853834402,0.2428571613373241,0.03736793146674838,-1.427500942221031,-0.14220598893936084,0.00283exp(-x^-23.60880) + 0.20549
6,0.20832141853834402,0.2372921729089967,0.03180294303842099,-1.49753268862548,-0.1220889590056693,0.00283exp(-x^-23.60880) + 0.20549
7,0.20832141853834402,0.2333951407922438,0.02790591092166808,-1.554303796412077,-0.10743035252914329,0.00283exp(-x^-23.60880) + 0.20549
8,0.20832141853834402,0.2305067744333118,0.025017544562736083,-1.6017553179513384,-0.09624600383007943,0.00283exp(-x^-23.60880) + 0.20549
9,0.20832141853834402,0.2282751664112051,0.02278593654062938,-1.6423331164750559,-0.08741094437279812,0.00283exp(-x^-23.60880) + 0.20549
10,0.20832141853834402,0.2264954067324395,0.02100617686186379,-1.6776529822861448,-0.0802399856857342,0.00283exp(-x^-23.60880) + 0.20549
11,0.20832141853834402,0.2250400784598464,0.01955084858927067,-1.7088343876471683,-0.07429192184753641,0.00283exp(-x^-23.60880) + 0.20549
12,0.20832141853834402,0.2238257664546558,0.018336536584080076,-1.7366826907197204,-0.06926971886166984,0.00283exp(-x^-23.60880) + 0.20549
13,0.20832141853834402,0.2227955538922404,0.017306324021664682,-1.7617951693657197,-0.06496599730575006,0.00283exp(-x^-23.60880) + 0.20549
14,0.20832141853834402,0.2219092559750989,0.016420026104523172,-1.78462615677557,-0.06123150373808475,0.00283exp(-x^-23.60880) + 0.20549
15,0.20832141853834402,0.2211376813294991,0.01564845145892338,-1.805528632949435,-0.0579560331559171,0.00283exp(-x^-23.60880) + 0.20549
16,0.20832141853834402,0.2204591026873837,0.014969872816807978,-1.824781889382607,-0.05505639822117577,0.00283exp(-x^-23.60880) + 0.20549
17,0.20832141853834402,0.2198570064550102,0.014367776584434472,-1.8426104338018863,-0.052468593576646946,0.00283exp(-x^-23.60880) + 0.20549
18,0.20832141853834402,0.2193186141720335,0.013829384301457776,-1.859197154701366,-0.05014255481781988,0.00283exp(-x^-23.60880) + 0.20549
19,0.20832141853834402,0.2188338764593741,0.013344646588798387,-1.8746929233052543,-0.048038530830402285,0.00283exp(-x^-23.60880) + 0.20549
20,0.20832141853834402,0.2183947792437655,0.012905549373189773,-1.8892235033505256,-0.04612454904051484,0.00283exp(-x^-23.60880) + 0.20549
21,0.20832141853834402,0.2179948504156159,0.012505620545040175,-1.9028947531457812,-0.04437458893560601,0.00283exp(-x^-23.60880) + 0.20549
22,0.20832141853834402,0.2176288041193576,0.01213957424878187,-1.915796544286052,-0.042767250496441526,0.00283exp(-x^-23.60880) + 0.20549
23,0.20832141853834402,0.2172922793314981,0.011803049460922393,-1.92800577295202,-0.04128476548155802,0.00283exp(-x^-23.60880) + 0.20549
24,0.20832141853834402,0.2169816446868317,0.011492414816255986,-1.9395887066306943,-0.03991225230588947,0.00283exp(-x^-23.60880) + 0.20549
25,0.20832141853834402,0.2166938510357501,0.011204621165174372,-1.9506028226323247,-0.03863714848108354,0.00283exp(-x^-23.60880) + 0.20549
26,0.20832141853834402,0.2164263185614407,0.010937088690864988,-1.9610982660973095,-0.03744877276002738,0.00283exp(-x^-23.60880) + 0.20549
27,0.20832141853834402,0.2161768489236543,0.010687619053078579,-1.9711190344806502,-0.0363379817238641,0.00283exp(-x^-23.60880) + 0.20549
28,0.20832141853834402,0.2159435569028834,0.01045432703230767,-1.9807039184237345,-0.03529690106923304,0.00283exp(-x^-23.60880) + 0.20549
29,0.20832141853834402,0.2157248159578808,0.01023558608730507,-1.98988728468735,-0.034318710096766285,0.00283exp(-x^-23.60880) + 0.20549
30,0.20832141853834402,0.2155192149434085,0.010029985072832787,-1.998699713319679,-0.033397469487602305,0.00283exp(-x^-23.60880) + 0.20549
31,0.20832141853834402,0.2153255239313545,0.009836294060778794,-2.0071684962951957,-0.032527984909226995,0.00283exp(-x^-23.60880) + 0.20549
32,0.20832141853834402,0.215142664327814,0.009653434457238291,-2.0153181477480184,-0.03170568613520759,0.00283exp(-x^-23.60880) + 0.20549
33,0.20832141853834402,0.2149696875343689,0.009480457663793185,-2.0231706968325733,-0.030926541654678525,0.00283exp(-x^-23.60880) + 0.20549
34,0.20832141853834402,0.2148057548904398,0.009316525019864075,-2.030746045383702,-0.03018697685917711,0.00283exp(-x^-23.60880) + 0.20549
35,0.20832141853834402,0.2146501224017276,0.009160892531151876,-2.0380622116519196,-0.029483812040596545,0.00283exp(-x^-23.60880) + 0.20549
36,0.20832141853834402,0.2145021273912142,0.009012897520638469,-2.0451355669646154,-0.02881420770992002,0.00283exp(-x^-23.60880) + 0.20549
37,0.20832141853834402,0.2143611777281415,0.008871947857565787,-2.0519810192978047,-0.02817562048225575,0.00283exp(-x^-23.60880) + 0.20549
