Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Error,Formula
56,0.21536976112880135,0.2125389159274834,0.007048915927483385,0.013319185284090857,0.15552exp(-x^0.25187) + 0.20549
57,0.21524883724969726,0.2124722507409852,0.006982250740985185,0.013067995933722537,0.15552exp(-x^0.25187) + 0.20549
58,0.21513094154684145,0.2124075141964397,0.006917514196439684,0.012821709065730467,0.15552exp(-x^0.25187) + 0.20549
59,0.21501595398057144,0.212344615421698,0.00685461542169799,0.012580203899064717,0.15552exp(-x^0.25187) + 0.20549
60,0.21490376106978762,0.2122834693535135,0.006793469353513493,0.012343362034989994,0.15552exp(-x^0.25187) + 0.20549
61,0.21479425543590316,0.212223996307915,0.006733996307914991,0.01211106742264427,0.15552exp(-x^0.25187) + 0.20549
62,0.21468733538517373,0.2121661214515973,0.006676121451597294,0.011883206971625825,0.15552exp(-x^0.25187) + 0.20549
63,0.21458290452562925,0.2121097746314629,0.006619774631462905,0.01165966961429931,0.15552exp(-x^0.25187) + 0.20549
64,0.21448087141525476,0.212054889806222,0.006564889806221996,0.011440347408398128,0.15552exp(-x^0.25187) + 0.20549
65,0.2143811492384369,0.2120014048458856,0.006511404845885582,0.011225135013993276,0.15552exp(-x^0.25187) + 0.20549
66,0.21428365550801912,0.2119492612314436,0.0064592612314435804,0.01101392976324851,0.15552exp(-x^0.25187) + 0.20549
67,0.2141883117905934,0.2118984037724043,0.006408403772404286,0.01080663175098119,0.15552exp(-x^0.25187) + 0.20549
68,0.2140950434529069,0.2118487803829135,0.006358780382913487,0.01060314374212262,0.15552exp(-x^0.25187) + 0.20549
69,0.2140037794274836,0.2118003418582871,0.006310341858287105,0.010403371164862377,0.15552exp(-x^0.25187) + 0.20549
70,0.2139144519957567,0.2117530415966829,0.0062630415966828945,0.010207222445430332,0.15552exp(-x^0.25187) + 0.20549
71,0.21382699658717874,0.2117068357337149,0.006216835733714898,0.010014607445791584,0.15552exp(-x^0.25187) + 0.20549
72,0.21374135159293212,0.2116616825509973,0.006171682550997287,0.009825439431786393,0.15552exp(-x^0.25187) + 0.20549
73,0.2136574581929961,0.2116175424035587,0.0061275424035587,0.009639634627016173,0.15552exp(-x^0.25187) + 0.20549
74,0.21357526019544898,0.211574377846784,0.006084377846784006,0.009457110870551386,0.15552exp(-x^0.25187) + 0.20549
75,0.21349470388699116,0.2115321533317724,0.006042153331772382,0.009277788384920629,0.15552exp(-x^0.25187) + 0.20549
76,0.2134157378937711,0.2114908350172227,0.006000835017222705,0.009101590035292269,0.15552exp(-x^0.25187) + 0.20549
77,0.21333831305168222,0.2114503907614505,0.005960390761450496,0.00892844077248166,0.15552exp(-x^0.25187) + 0.20549
78,0.21326238228537495,0.2114107899981707,0.005920789998170695,0.008758267670350539,0.15552exp(-x^0.25187) + 0.20549
79,0.21318790049529834,0.2113720035992218,0.005882003599221808,0.008591000062239156,0.15552exp(-x^0.25187) + 0.20549
80,0.21311482445214594,0.2113340038648106,0.0058440038648105985,0.008426569102786309,0.15552exp(-x^0.25187) + 0.20549
81,0.2130431126981374,0.2112967643280512,0.005806764328051189,0.008264908247127152,0.15552exp(-x^0.25187) + 0.20549
82,0.21297272545461668,0.2112602597860371,0.005770259786037096,0.008105952678056678,0.15552exp(-x^0.25187) + 0.20549
83,0.21290362453549336,0.21122446617943,0.005734466179429992,0.007949639482752702,0.15552exp(-x^0.25187) + 0.20549
84,0.21283577326609313,0.2111893605011346,0.005699360501134593,0.007795907715482105,0.15552exp(-x^0.25187) + 0.20549
85,0.21276913640702186,0.211154920815664,0.0056649208156639985,0.007644697955048118,0.15552exp(-x^0.25187) + 0.20549
86,0.21270368008267948,0.2111211262159618,0.00563112621596179,0.007495952181966124,0.15552exp(-x^0.25187) + 0.20549
87,0.21263937171409092,0.2110879563252323,0.005597956325232301,0.007349615846715006,0.15552exp(-x^0.25187) + 0.20549
88,0.21257617995574832,0.2110553922087081,0.005565392208708081,0.007205633227964898,0.15552exp(-x^0.25187) + 0.20549
89,0.21251407463618338,0.2110234153642551,0.005533415364255084,0.007063951975922721,0.15552exp(-x^0.25187) + 0.20549
90,0.21245302670201158,0.210992008169107,0.005502008169106981,0.006924520722764083,0.15552exp(-x^0.25187) + 0.20549
91,0.21239300816521048,0.2109611536582367,0.005471153658236694,0.006787289897425501,0.15552exp(-x^0.25187) + 0.20549
92,0.21233399205341244,0.2109308356684362,0.0054408356684362,0.006652210808958565,0.15552exp(-x^0.25187) + 0.20549
93,0.21227595236301,0.2109010386332817,0.005411038633281684,0.006519236408878167,0.15552exp(-x^0.25187) + 0.20549
94,0.21221886401488677,0.2108717475776879,0.00538174757768789,0.006388321113062216,0.15552exp(-x^0.25187) + 0.20549
95,0.21216270281260183,0.2108429481396793,0.005352948139679292,0.006259420505011238,0.15552exp(-x^0.25187) + 0.20549
96,0.21210744540286763,0.2108146266794428,0.0053246266794428065,0.006132490633065205,0.15552exp(-x^0.25187) + 0.20549
97,0.21205306923817416,0.2107867697840864,0.005296769784086386,0.006007490201519122,0.15552exp(-x^0.25187) + 0.20549
98,0.21199955254142228,0.2107593647603388,0.0052693647603387905,0.005884378055958446,0.15552exp(-x^0.25187) + 0.20549
99,0.2119468742724399,0.2107323993470188,0.0052423993470187835,0.005763114400938476,0.15552exp(-x^0.25187) + 0.20549
100,0.21189501409626293,0.210705861746731,0.005215861746730999,0.005643660502246939,0.15552exp(-x^0.25187) + 0.20549
101,0.211843952353072,0.2106797405884993,0.005189740588499303,0.005525978726386536,0.15552exp(-x^0.25187) + 0.20549
102,0.21179367002968372,0.2106540249291329,0.005164024929132899,0.005410032402344107,0.15552exp(-x^0.25187) + 0.20549
103,0.2117441487325019,0.2106287042149382,0.0051387042149382,0.005295785879333144,0.15552exp(-x^0.25187) + 0.20549
104,0.21169537066184096,0.2106037682300529,0.005113768230052884,0.005183204654703345,0.15552exp(-x^0.25187) + 0.20549
