Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
60,0.21451770823408453,0.2122834693535135,0.010524789741637288,0.61532 * exp(-((x)^0.01279)
61,0.21446993247701254,0.212223996307915,0.010582856831321399,0.61532 * exp(-((x)^0.01279)
62,0.21442293412776978,0.2121661214515973,0.010637007740594137,0.61532 * exp(-((x)^0.01279)
63,0.21437668830133216,0.2121097746314629,0.010687454992623401,0.61532 * exp(-((x)^0.01279)
64,0.21433117128861204,0.212054889806222,0.010734397515992797,0.61532 * exp(-((x)^0.01279)
65,0.21428636048351812,0.2120014048458856,0.010778021208366914,0.61532 * exp(-((x)^0.01279)
66,0.21424223431558348,0.2119492612314436,0.010818500007112649,0.61532 * exp(-((x)^0.01279)
67,0.21419877218766067,0.2118984037724043,0.010855996903719767,0.61532 * exp(-((x)^0.01279)
68,0.21415595441823254,0.2118487803829135,0.010890664705026226,0.61532 * exp(-((x)^0.01279)
69,0.2141137621879351,0.2118003418582871,0.010922646816103186,0.61532 * exp(-((x)^0.01279)
70,0.21407217748992766,0.2117530415966829,0.010952078306681027,0.61532 * exp(-((x)^0.01279)
71,0.21403118308378408,0.2117068357337149,0.010979085025826655,0.61532 * exp(-((x)^0.01279)
72,0.21399076245260854,0.2116616825509973,0.011003786200414799,0.61532 * exp(-((x)^0.01279)
73,0.21395089976310963,0.2116175424035587,0.011026294573921323,0.61532 * exp(-((x)^0.01279)
74,0.21391157982839049,0.211574377846784,0.011046715606078762,0.61532 * exp(-((x)^0.01279)
75,0.21387278807323734,0.2115321533317724,0.01106514874735777,0.61532 * exp(-((x)^0.01279)
76,0.2138345105017066,0.2114908350172227,0.011081688170047796,0.61532 * exp(-((x)^0.01279)
77,0.21379673366683088,0.2114503907614505,0.011096422649922786,0.61532 * exp(-((x)^0.01279)
78,0.21375944464228022,0.2114107899981707,0.011109436013790231,0.61532 * exp(-((x)^0.01279)
79,0.21372263099582778,0.2113720035992218,0.011120807659385874,0.61532 * exp(-((x)^0.01279)
80,0.2136862807644856,0.2113340038648106,0.011130612474364174,0.61532 * exp(-((x)^0.01279)
81,0.2136503824311841,0.2112967643280512,0.01113892165181837,0.61532 * exp(-((x)^0.01279)
82,0.213614924902883,0.2112602597860371,0.011145802429811873,0.61532 * exp(-((x)^0.01279)
83,0.21357989749000894,0.21122446617943,0.011151318562585746,0.61532 * exp(-((x)^0.01279)
84,0.21354528988712457,0.2111893605011346,0.011155530659307583,0.61532 * exp(-((x)^0.01279)
85,0.21351109215474134,0.211154920815664,0.011158495998936497,0.61532 * exp(-((x)^0.01279)
86,0.21347729470219667,0.2111211262159618,0.011160268649877729,0.61532 * exp(-((x)^0.01279)
87,0.21344388827152044,0.2110879563252323,0.011160901774321273,0.61532 * exp(-((x)^0.01279)
88,0.21341086392222375,0.2110553922087081,0.011160443184443192,0.61532 * exp(-((x)^0.01279)
89,0.21337821301694723,0.2110234153642551,0.011158940104478175,0.61532 * exp(-((x)^0.01279)
90,0.213345927207911,0.210992008169107,0.01115643696285119,0.61532 * exp(-((x)^0.01279)
91,0.21331399842411386,0.2109611536582367,0.011152976389619285,0.61532 * exp(-((x)^0.01279)
92,0.21328241885923155,0.2109308356684362,0.011148598465194599,0.61532 * exp(-((x)^0.01279)
93,0.2132511809601695,0.2109010386332817,0.011143341645530202,0.61532 * exp(-((x)^0.01279)
94,0.21322027741622765,0.2108717475776879,0.011137242734115078,0.61532 * exp(-((x)^0.01279)
95,0.2131897011488389,0.2108429481396793,0.011130336726296007,0.61532 * exp(-((x)^0.01279)
96,0.21315944530184477,0.2108146266794428,0.011122656237545648,0.61532 * exp(-((x)^0.01279)
97,0.2131295032322748,0.2107867697840864,0.011114233832550927,0.61532 * exp(-((x)^0.01279)
98,0.213099868501599,0.2107593647603388,0.011105099618807806,0.61532 * exp(-((x)^0.01279)
99,0.21307053486742478,0.2107323993470188,0.011095282584220548,0.61532 * exp(-((x)^0.01279)
100,0.2130414962756103,0.210705861746731,0.011084810405923797,0.61532 * exp(-((x)^0.01279)
101,0.21301274685277105,0.2106797405884993,0.01107370959236456,0.61532 * exp(-((x)^0.01279)
102,0.21298428089915533,0.2106540249291329,0.01106200544141684,0.61532 * exp(-((x)^0.01279)
103,0.212956092881867,0.2106287042149382,0.011049722190541495,0.61532 * exp(-((x)^0.01279)
104,0.2129281774284165,0.2106037682300529,0.011036883232898928,0.61532 * exp(-((x)^0.01279)
105,0.2129005293205793,0.210579207344755,0.011023509894896163,0.61532 * exp(-((x)^0.01279)
106,0.21287314348854658,0.2105550118753949,0.011009624480102733,0.61532 * exp(-((x)^0.01279)
107,0.21284601500535008,0.2105311727916388,0.01099524684642433,0.61532 * exp(-((x)^0.01279)
108,0.21281913908154584,0.2105076812806119,0.010980396472339254,0.61532 * exp(-((x)^0.01279)
109,0.2127925110601439,0.2104845288184764,0.010965092088349773,0.61532 * exp(-((x)^0.01279)
110,0.21276612641176895,0.2104617071849364,0.010949351583505027,0.61532 * exp(-((x)^0.01279)
111,0.21273998073003986,0.2104392084292761,0.010933192145783003,0.61532 * exp(-((x)^0.01279)
112,0.2127140697271569,0.2104170248655979,0.010916630263288851,0.61532 * exp(-((x)^0.01279)
113,0.21268838922968494,0.2103951490676124,0.010899681728572546,0.61532 * exp(-((x)^0.01279)
114,0.21266293517452198,0.2103735738476795,0.010882361719538472,0.61532 * exp(-((x)^0.01279)
115,0.21263770360504466,0.2103522922527076,0.0108646848002563,0.61532 * exp(-((x)^0.01279)
116,0.21261269066741983,0.2103312975450522,0.010846664994680453,0.61532 * exp(-((x)^0.01279)
117,0.21258789260707472,0.210310583221745,0.0108283156769557,0.61532 * exp(-((x)^0.01279)
118,0.21256330576531743,0.2102901429431507,0.010809649897766439,0.61532 * exp(-((x)^0.01279)
119,0.2125389265761,0.21026997062374,0.010790679932229062,0.61532 * exp(-((x)^0.01279)
120,0.21251475156291688,0.2102500603262227,0.010771417773580165,0.61532 * exp(-((x)^0.01279)
121,0.21249077733583213,0.2102304063087104,0.010751874891981691,0.61532 * exp(-((x)^0.01279)
122,0.21246700058862877,0.2102110030022542,0.010732062328585042,0.61532 * exp(-((x)^0.01279)
123,0.2124434180960751,0.2101918450090745,0.010711990690711022,0.61532 * exp(-((x)^0.01279)
124,0.21242002671130086,0.2101729270864921,0.010691670216326282,0.61532 * exp(-((x)^0.01279)
125,0.21239682336327959,0.2101542441542275,0.010671110726682717,0.61532 * exp(-((x)^0.01279)
126,0.21237380505441053,0.2101357912769021,0.010650321698693076,0.61532 * exp(-((x)^0.01279)
127,0.21235096885819713,0.2101175636663982,0.010629312242287796,0.61532 * exp(-((x)^0.01279)
128,0.21232831191701518,0.2100995566691027,0.010608091150914021,0.61532 * exp(-((x)^0.01279)
129,0.21230583143996945,0.2100817657717132,0.01058666686319197,0.61532 * exp(-((x)^0.01279)
130,0.21228352470083153,0.2100641865808706,0.010565047550866286,0.61532 * exp(-((x)^0.01279)
131,0.21226138903605796,0.2100468148348598,0.010543241052901846,0.61532 * exp(-((x)^0.01279)
132,0.21223942184288286,0.2100296463868032,0.0105212549470755,0.61532 * exp(-((x)^0.01279)
133,0.21221762057748295,0.2100126772090143,0.010499096520131488,0.61532 * exp(-((x)^0.01279)
134,0.21219598275321125,0.2099959033768771,0.010476772836780992,0.61532 * exp(-((x)^0.01279)
135,0.21217450593889636,0.209979320975015,0.010454291182999648,0.61532 * exp(-((x)^0.01279)
136,0.21215318775720468,0.2099629266235055,0.010431656525852541,0.61532 * exp(-((x)^0.01279)
137,0.21213202588306232,0.2099467163853656,0.010408876763214007,0.61532 * exp(-((x)^0.01279)
138,0.21211101804213475,0.2099306868567136,0.010385957470378425,0.61532 * exp(-((x)^0.01279)
