Matrix size,Coefficient,R square
1,1.0,-inf
2,0.3008143618642685,0.999505749636873
3,0.2667118180618078,0.9747855459720908
4,0.2514843934063438,0.9702805955313611
5,0.24285716133732418,0.9718592795799524
6,0.2372921729089967,0.9749044388567835
7,0.23339514079224388,0.9780307627248078
8,0.23050677443331186,0.9808430483572163
9,0.22827516641120515,0.9832633328749192
10,0.2264954067324395,0.9853142239991982
11,0.22504007845984642,0.9870454855659854
12,0.22382576645465582,0.988509028288388
13,0.22279555389224048,0.9897510477205261
14,0.22190925597509897,0.9908103164338217
15,0.22113768132949913,0.9917185948827512
16,0.22045910268738378,0.9925016540809929
17,0.21985700645501022,0.993180358852646
18,0.21931861417203352,0.9937716285362777
19,0.2188338764593741,0.9942892326706644
20,0.21839477924376557,0.9947444299988104
21,0.2179948504156159,0.995146474462692
22,0.21762880411935762,0.9955030136492351
23,0.2172922793314981,0.9958204022687659
24,0.21698164468683173,0.9961039492296221
25,0.21669385103575015,0.9963581130332195
26,0.21642631856144076,0.9965866569632831
27,0.21617684892365432,0.9967927729355851
28,0.2159435569028834,0.9969791808387493
29,0.21572481595788082,0.99714820862881
30,0.21551921494340853,0.9973018572404462
31,0.2153255239313545,0.9974418534616951
32,0.21514266432781404,0.9975696932191094
33,0.21496968753436896,0.9976866771845436
34,0.21480575489043982,0.9977939402033016
35,0.21465012240172765,0.9978924757261534
36,0.21450212739121424,0.9979831561821405
37,0.21436117772814156,0.9980667500380762
38,0.21422674261292496,0.9981439361414101
39,0.21409834412718481,0.9982153158259742
40,0.2139755519943311,0.9982814231677363
41,0.2138579765066187,0.9983427337044742
42,0.21374526435464603,0.9983996718750309
43,0.21363709433493336,0.9984526173872169
44,0.21353317374506864,0.9985019106860344
45,0.21343323531204994,0.9985478576637299
46,0.2133370339989243,0.9985907337287668
47,0.21324434562627245,0.9986307873309572
48,0.21315496379430843,0.99866824302379
49,0.2130686985231001,0.998703304131725
50,0.2129853745985939,0.9987361550793086
51,0.2129048300789408,0.9987669634299691
52,0.21282691511883692,0.9987958816748945
53,0.21275149076124716,0.9988230488062066
54,0.2126784280291683,0.9988485917034882
55,0.21260760698408543,0.9988726263584068
56,0.21253891592748347,0.9988952589585661
57,0.2124722507409852,0.9989165868486736
58,0.21240751419643975,0.9989366993845518
59,0.21234461542169802,0.9989556786933551
60,0.21228346935351358,0.9989736003515111
61,0.212223996307915,0.9989905339903496
62,0.2121661214515973,0.9990065438380501
63,0.2121097746314629,0.9990216892053971
64,0.21205488980622203,0.9990360249218675
65,0.21200140484588564,0.9990496017277312
66,0.21194926123144367,0.9990624666271332
67,0.2118984037724043,0.9990746632065017
68,0.21184878038291352,0.9990862319220972
69,0.21180034185828717,0.9990972103600474
70,0.21175304159668296,0.9991076334718186
71,0.21170683573371496,0.9991175337877214
72,0.21166168255099738,0.9991269416107427
73,0.2116175424035587,0.9991358851927372
74,0.211574377846784,0.999144390894775
75,0.21153215333177242,0.9991524833332392
76,0.21149083501722277,0.9991601855130955
77,0.21145039076145059,0.999167518949591
78,0.2114107899981707,0.9991745037795103
79,0.2113720035992218,0.9991811588629912
80,0.21133400386481063,0.9991875018767973
81,0.2112967643280512,0.9991935493998496
82,0.21126025978603713,0.9991993169917384
83,0.21122446617943003,0.9992048192648579
84,0.21118936050113468,0.9992100699507468
85,0.21115492081566403,0.9992150819611527
86,0.2111211262159618,0.9992198674442933
87,0.21108795632523236,0.9992244378367346
88,0.21105539220870817,0.9992288039112714
89,0.21102341536425517,0.9992329758211512
90,0.21099200816910701,0.9992369631409583
91,0.21096115365823676,0.9992407749044376
92,0.21093083566843623,0.999244419639515
93,0.2109010386332817,0.9992479054007483
94,0.21087174757768795,0.9992512397994173
95,0.2108429481396793,0.9992544300314484
96,0.21081462667944284,0.999257482903345
97,0.21078676978408642,0.9992604048562848
98,0.21075936476033885,0.9992632019885289
99,0.2107323993470188,0.9992658800762745
100,0.210705861746731,0.9992684445930725
101,0.2106797405884993,0.9992709007279202
102,0.2106540249291329,0.9992732534021308
103,0.21062870421493823,0.9992755072850709
104,0.2106037682300529,0.9992776668088529
105,0.210579207344755,0.999279736182058
106,0.21055501187539494,0.9992817194025626
107,0.21053117279163883,0.9992836202695328
108,0.21050768128061195,0.9992854423946472
109,0.21048452881847646,0.999287189212606
110,0.21046170718493648,0.9992888639909714
111,0.2104392084292761,0.9992904698393943
112,0.21041702486559796,0.9992920097182638
113,0.21039514906761242,0.9992934864468229
114,0.21037357384767955,0.9992949027107868
115,0.21035229225270766,0.9992962610694976
116,0.21033129754505223,0.9992975639626468
117,0.210310583221745,0.9992988137165945
118,0.2102901429431507,0.9993000125503135
119,0.21026997062374006,0.999301162580982
120,0.21025006032622276,0.9993022658292479
121,0.21023040630871043,0.9993033242241871
122,0.2102110030022542,0.9993043396079764
123,0.21019184500907456,0.9993053137402955
124,0.2101729270864921,0.9993062483024817
125,0.21015424415422757,0.9993071449014467
126,0.21013579127690218,0.9993080050733745
127,0.21011756366639822,0.9993088302872132
128,0.2100995566691027,0.9993096219479729
129,0.21008176577171325,0.9993103813998419
130,0.21006418658087062,0.9993111099291326
131,0.21004681483485987,0.9993118087670679
132,0.21002964638680324,0.9993124790924164
133,0.2100126772090143,0.9993131220339866
134,0.20999590337687712,0.9993137386729886
135,0.20997932097501504,0.9993143300452701
136,0.20996292662350557,0.9993148971434359
137,0.20994671638536566,0.999315440918855
138,0.20993068685671365,0.9993159622835651
139,0.20991483461930782,0.9993164621120775
