Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
23,9744803447.248903,0.2172922793314981,44846524124.150185,1.00000exp(1.00000x) + 1.00000
24,26489122130.84347,0.2169816446868317,122080013582.9834,1.00000exp(1.00000x) + 1.00000
25,72004899338.38588,0.2166938510357501,332288613608.5599,1.00000exp(1.00000x) + 1.00000
26,195729609429.83878,0.2164263185614407,904370645541.6936,1.00000exp(1.00000x) + 1.00000
27,532048240602.79865,0.2161768489236543,2461171227407.8076,1.00000exp(1.00000x) + 1.00000
28,1446257064292.475,0.2159435569028834,6697384654744.231,1.00000exp(1.00000x) + 1.00000
29,3931334297145.042,0.2157248159578808,18223838920379.008,1.00000exp(1.00000x) + 1.00000
30,10686474581525.463,0.2155192149434085,49584787993642.82,1.00000exp(1.00000x) + 1.00000
31,29048849665248.426,0.2153255239313545,134906671233777.86,1.00000exp(1.00000x) + 1.00000
32,78962960182681.69,0.215142664327814,367026040276070.94,1.00000exp(1.00000x) + 1.00000
33,214643579785917.06,0.2149696875343689,998483005896354.9,1.00000exp(1.00000x) + 1.00000
34,583461742527455.9,0.2148057548904398,2716229566684776.5,1.00000exp(1.00000x) + 1.00000
35,1586013452313431.8,0.2146501224017276,7388830877744082.0,1.00000exp(1.00000x) + 1.00000
36,4311231547115196.0,0.2145021273912142,2.0098782233764364e+16,1.00000exp(1.00000x) + 1.00000
37,1.1719142372802612e+16,0.2143611777281415,5.4670078308979704e+16,1.00000exp(1.00000x) + 1.00000
38,3.1855931757113756e+16,0.2142267426129249,1.4870193780928915e+17,1.00000exp(1.00000x) + 1.00000
39,8.659340042399374e+16,0.2140983441271848,4.04456189406832e+17,1.00000exp(1.00000x) + 1.00000
40,2.3538526683702e+17,0.2139755519943311,1.1000568272549946e+18,1.00000exp(1.00000x) + 1.00000
41,6.398434935300549e+17,0.2138579765066187,2.9919084804875274e+18,1.00000exp(1.00000x) + 1.00000
42,1.739274941520501e+18,0.213745264354646,8.137139069592191e+18,1.00000exp(1.00000x) + 1.00000
43,4.727839468229346e+18,0.2136370943349333,2.2130236712624415e+19,1.00000exp(1.00000x) + 1.00000
44,1.2851600114359308e+19,0.2135331737450686,6.018549665590828e+19,1.00000exp(1.00000x) + 1.00000
45,3.4934271057485095e+19,0.2134332353120499,1.6367774684392273e+20,1.00000exp(1.00000x) + 1.00000
46,9.496119420602448e+19,0.2133370339989243,4.451228763520885e+20,1.00000exp(1.00000x) + 1.00000
47,2.5813128861900675e+20,0.2132443456262724,1.2104953491775218e+21,1.00000exp(1.00000x) + 1.00000
48,7.016735912097631e+20,0.2131549637943084,3.291847296067984e+21,1.00000exp(1.00000x) + 1.00000
49,1.9073465724950998e+21,0.2130686985231001,8.951791538203406e+21,1.00000exp(1.00000x) + 1.00000
50,5.184705528587072e+21,0.2129853745985939,2.434301199487761e+22,1.00000exp(1.00000x) + 1.00000
51,1.4093490824269389e+22,0.2129048300789408,6.6196200523228185e+22,1.00000exp(1.00000x) + 1.00000
52,3.831008000716577e+22,0.2128269151188369,1.8000580418023933e+23,1.00000exp(1.00000x) + 1.00000
53,1.0413759433029089e+23,0.2127514907612471,4.8947997477092014e+23,1.00000exp(1.00000x) + 1.00000
54,2.830753303274694e+23,0.2126784280291683,1.3310016109797762e+24,1.00000exp(1.00000x) + 1.00000
55,7.694785265142018e+23,0.2126076069840854,3.619242685760536e+24,1.00000exp(1.00000x) + 1.00000
56,2.091659496012996e+24,0.2125389159274834,9.841301235989431e+24,1.00000exp(1.00000x) + 1.00000
57,5.685719999335932e+24,0.2124722507409852,2.6759823833499665e+25,1.00000exp(1.00000x) + 1.00000
58,1.545538935590104e+25,0.2124075141964397,7.276291243447967e+25,1.00000exp(1.00000x) + 1.00000
59,4.2012104037905144e+25,0.212344615421698,1.978486902268407e+26,1.00000exp(1.00000x) + 1.00000
60,1.1420073898156842e+26,0.2122834693535135,5.3796340963031414e+26,1.00000exp(1.00000x) + 1.00000
61,3.10429793570192e+26,0.212223996307915,1.4627459616762213e+27,1.00000exp(1.00000x) + 1.00000
62,8.438356668741454e+26,0.2121661214515973,3.9772403864518707e+27,1.00000exp(1.00000x) + 1.00000
63,2.29378315946961e+27,0.2121097746314629,1.081413227398416e+28,1.00000exp(1.00000x) + 1.00000
64,6.235149080811617e+27,0.212054889806222,2.9403467595155963e+28,1.00000exp(1.00000x) + 1.00000
65,1.6948892444103338e+28,0.2120014048458856,7.994707608859636e+28,1.00000exp(1.00000x) + 1.00000
66,4.607186634331292e+28,0.2119492612314436,2.1737214876631972e+29,1.00000exp(1.00000x) + 1.00000
67,1.2523631708422137e+29,0.2118984037724043,5.910205780442552e+29,1.00000exp(1.00000x) + 1.00000
68,3.404276049931741e+29,0.2118487803829135,1.6069368177520602e+30,1.00000exp(1.00000x) + 1.00000
69,9.253781725587787e+29,0.2118003418582871,4.3691061328783756e+30,1.00000exp(1.00000x) + 1.00000
70,2.515438670919167e+30,0.2117530415966829,1.1879114708114638e+31,1.00000exp(1.00000x) + 1.00000
71,6.837671229762744e+30,0.2117068357337149,3.2297829241391026e+31,1.00000exp(1.00000x) + 1.00000
72,1.8586717452841279e+31,0.2116616825509973,8.781333129752022e+31,1.00000exp(1.00000x) + 1.00000
73,5.052393630276104e+31,0.2116175424035587,2.387511721802861e+32,1.00000exp(1.00000x) + 1.00000
74,1.3733829795401761e+32,0.211574377846784,6.491253778067304e+32,1.00000exp(1.00000x) + 1.00000
75,3.7332419967990015e+32,0.2115321533317724,1.7648579367240166e+33,1.00000exp(1.00000x) + 1.00000
