Eigenstate,Energy,Kinetic Energy,Potential Energy
1,0.500000000000059968134956424638208322,0.0,0.500000000000059968134956424638208322
2,1.84623093765150632225316901684968663,1.2,0.64623093765150632225316901684968663
3,3.93633760970612726511602685065152736,3.2,0.73633760970612726511602685065152736
4,6.79966527781664062048837343954913352,6.0,0.79966527781664062048837343954913352
5,10.4480465752898531905591100357467691,9.6,0.8480465752898531905591100357467691
6,14.8870659968767187640938616163732224,14.0,0.8870659968767187640938616163732224
7,20.1197208240136716395537049529238120,19.2,0.9197208240136716395537049529238120
8,26.1477838430767511781598498573232977,25.2,0.9477838430767511781598498573232977
9,32.9723835530717170375237407312931156,32.0,0.9723835530717170375237407312931156
10,40.5942802081468182801873648840919162,39.6,0.9942802081468182801873648840919162
11,49.0140093784428783667429838654165774,48.0,1.0140093784428783667429838654165774
12,58.2319621592643737290313637641927836,57.2,1.0319621592643737290313637641927836
13,68.2484326806769966838053426902292225,67.2,1.0484326806769966838053426902292225
14,79.0636476403638003381935471672777101,78.0,1.0636476403638003381935471672777101
15,90.6777854194393734465977132788700421,89.6,1.0777854194393734465977132788700421
16,103.090988887320279244156272088509059,102.0,1.090988887320279244156272088509059
17,116.303374235186555828340872221078113,115.2,1.103374235186555828340872221078113
18,130.315037226987913058281826494705346,129.2,1.115037226987913058281826494705346
19,145.126057722547708474294472347013806,144.0,1.126057722547708474294472347013806
20,160.736503015196882588522894604271519,159.6,1.136503015196882588522894604271519
21,177.146430337855655263033668335553787,176.0,1.146430337855655263033668335553787
22,194.355888774192265274693754342404690,193.2,1.155888774192265274693754342404690
23,212.364920736559494558658894986087673,211.2,1.164920736559494558658894986087673
24,231.173563123395090064062847033983431,230.0,1.173563123395090064062847033983431
25,250.781848236017689918597783061795237,249.6,1.181848236017689918597783061795237
26,271.189804512434411007087569564512174,270.0,1.189804512434411007087569564512174
27,292.397457120303424675135468467506730,291.2,1.197457120303424675135468467506730
28,314.404828440292996464658756393739660,313.2,1.204828440292996464658756393739660
29,337.211938463283437969962778406686663,336.0,1.211938463283437969962778406686663
30,360.818805119208931336050670239497813,359.6,1.218805119208931336050670239497813
31,385.225444551190248422450968433864245,384.0,1.225444551190248422450968433864245
32,410.431871345531487072323574937131581,409.2,1.231871345531487072323574937131581
33,436.438098725844299123359778321846842,435.2,1.238098725844299123359778321846842
34,463.244138717812538531499938177053214,462.0,1.244138717812538531499938177053214
35,490.850002289771062913300692015361206,489.6,1.250002289771062913300692015361206
36,519.255699473238942934628492320360945,518.0,1.255699473238942934628492320360945
37,548.461239466743249425148773895284148,547.2,1.261239466743249425148773895284148
38,578.466630725639169355182508267476946,577.2,1.266630725639169355182508267476946
39,609.271881040134353162176530135123729,608.0,1.271881040134353162176530135123729
40,640.876997603329575130641790529060320,639.6,1.276997603329575130641790529060320
41,673.281987070771038255815001903952433,672.0,1.281987070771038255815001903952433
42,706.486855612754662419891956616582034,705.2,1.286855612754662419891956616582034
43,740.491608960416208364843997391167701,739.2,1.291608960416208364843997391167701
44,775.296252446472995930389808073533888,774.0,1.296252446472995930389808073533888
45,810.900791041345405456750795810008007,809.6,1.300791041345405456750795810008007
46,847.305229385273214969268686123406795,846.0,1.305229385273214969268686123406795
47,884.509571816948349149668856524060199,883.2,1.309571816948349149668856524060199
48,922.513822399108029734534946892386755,921.2,1.313822399108029734534946892386755
49,961.317984941467654437688965607198050,960.0,1.317984941467654437688965607198050
50,1000.92206302131860877953883062358952,999.6,1.32206302131860877953883062358952
51,1041.32606000207074824400030933802328,1040.0,1.32606000207074824400030933802328
52,1082.52997904998094296931568508295090,1081.2,1.32997904998094296931568508295090
53,1124.53382314927662706055783035259332,1123.2,1.33382314927662706055783035259332
54,1167.33759511585573348016264290793911,1166.0,1.33759511585573348016264290793911
55,1210.94129760972091998032983143565644,1209.6,1.34129760972091998032983143565644
56,1255.34493314628591697101434866516631,1254.0,1.34493314628591697101434866516631
57,1300.54850410667462925211820554723699,1299.2,1.34850410667462925211820554723699
58,1346.55201274711882635220680287762692,1345.2,1.35201274711882635220680287762692
59,1393.35546120754750226880361844821565,1392.0,1.35546120754750226880361844821565
60,1440.95885151944996089761870649015716,1439.6,1.35885151944996089761870649015716
61,1489.36218561308511921056542514733524,1488.0,1.36218561308511921056542514733524
62,1538.56546532410121923730927584280749,1537.2,1.36546532410121923730927584280749
63,1588.56869239962289801607481434364366,1587.2,1.36869239962289801607481434364366
64,1639.37186850385625219951674098218001,1638.0,1.37186850385625219951674098218001
65,1690.97499522325699916149028999789475,1689.6,1.37499522325699916149028999789475
66,1743.37807407130198911150379562907710,1742.0,1.37807407130198911150379562907710
67,1796.58110649290006043231184986228906,1795.2,1.38110649290006043231184986228906
68,1850.58409386847447429530024804039259,1849.2,1.38409386847447429530024804039259
69,1905.38703751774585193758813127654689,1904.0,1.38703751774585193758813127654689
70,1960.98993870324160971650991821203910,1959.6,1.38993870324160971650991821203910
71,2017.39279863355528835340897796585192,2016.0,1.39279863355528835340897796585192
72,2074.59561846637687453629627098109678,2073.2,1.39561846637687453629627098109678
73,2132.59839931131316004452401309270639,2131.2,1.39839931131316004452401309270639
74,2191.40114223251536471007244246933348,2190.0,1.40114223251536471007244246933348
75,2251.00384825112961842894507126876849,2249.6,1.40384825112961842894507126876849
76,2311.40651834758444787941313447463084,2310.0,1.40651834758444787941313447463084
77,2372.60915346372811120543206688425439,2371.2,1.40915346372811120543206688425439
78,2434.61175450482745812537304069004939,2433.2,1.41175450482745812537304069004939
79,2497.41432234143894610622059574038728,2496.0,1.41432234143894610622059574038728
80,2561.01685781116150511774326897914021,2559.6,1.41685781116150511774326897914021
81,2625.41936172028009413966758468200184,2624.0,1.41936172028009413966758468200184
82,2690.62183484530803114433256922631216,2689.2,1.42183484530803114433256922631216
83,2756.62427793443548954351240154536454,2755.2,1.42427793443548954351240154536454
84,2823.42669170889092979637880767572462,2822.0,1.42669170889092979637880767572462
85,2891.02907686422167559940124311776932,2889.6,1.42907686422167559940124311776932
86,2959.43143407149932821359376346019594,2958.0,1.43143407149932821359376346019594
87,3028.63376397845525501371757042706478,3027.2,1.43376397845525501371757042706478
88,3098.63606721055096496631274334774679,3097.2,1.43606721055096496631274334774679
89,3169.43834437198780024127117203731545,3168.0,1.43834437198780024127117203731545
90,3241.04059604666002994493349550185290,3239.6,1.44059604666002994493349550185290
91,3313.44282279905511051064220935217605,3312.0,1.44282279905511051064220935217605
92,3386.64502517510458898514407370680865,3385.2,1.44502517510458898514407370680865
93,3460.64720370298886319417930256340330,3459.2,1.44720370298886319417930256340330
94,3535.44935889389876984185699812333018,3534.0,1.44935889389876984185699812333018
