Eigenstate,Energy,Kinetic Energy,Potential Energy
1,0.500000000023706546644307694909336465,0.0,0.500000000023706546644307694909336465
2,1.84623093780585852347042238299938077,1.2,0.64623093780585852347042238299938077
3,3.93633761015952285009666000184838731,3.2,0.73633761015952285009666000184838731
4,6.79966527876100742665563970591182655,6.0,0.79966527876100742665563970591182655
5,10.4480465769256799805090078520653833,9.6,0.8480465769256799805090078520653833
6,14.8870659994079968950164131104825110,14.0,0.8870659994079968950164131104825110
7,20.1197208276460299356621692361090204,19.2,0.9197208276460299356621692361090204
8,26.1477838480166768304657388853730087,25.2,0.9477838480166768304657388853730087
9,32.9723835595261921596289762446659874,32.0,0.9723835595261921596289762446659874
10,40.5942802163231343739793613959072133,39.6,0.9942802163231343739793613959072133
11,49.0140093885485345392947172300135953,48.0,1.0140093885485345392947172300135953
12,58.2319621715070175872283877809644687,57.2,1.0319621715070175872283877809644687
13,68.2484326952643884622892303594477060,67.2,1.0484326952643884622892303594477060
14,79.0636476575037903975272287846092648,78.0,1.0636476575037903975272287846092648
15,90.6777854393398878368519172729001847,89.6,1.0777854393398878368519172729001847
16,103.090988910189310334223718305553300,102.0,1.090988910189310334223718305553300
17,116.303374261232156229877755244870395,115.2,1.103374261232156229877755244870395
18,130.315037256418191758552202717678721,129.2,1.115037256418191758552202717678721
19,145.126057755570828490080577720502881,144.0,1.126057755570828490080577720502881
20,160.736503052021059692502448046315990,159.6,1.136503052021059692502448046315990
21,177.146430378689157482415024907220358,176.0,1.146430378689157482415024907220358
22,194.355888819243412956527240785964428,193.2,1.155888819243412956527240785964428
23,212.364920786036660858104641829205874,211.2,1.164920786036660858104641829205874
24,231.173563177506701753253032824249413,230.0,1.173563177506701753253032824249413
25,250.781848294972228441946963260610221,249.6,1.181848294972228441946963260610221
26,271.189804576440413728512639814098140,270.0,1.189804576440413728512639814098140
27,292.397457189569486276504028498147717,291.2,1.197457189569486276504028498147717
28,314.404828515027770464729794518032524,313.2,1.204828515027770464729794518032524
29,337.211938543695638340322921763335897,336.0,1.211938543695638340322921763335897
30,360.818805205507334195888153105776758,359.6,1.218805205507334195888153105776758
31,385.225444643583693797994694409193973,384.0,1.225444643583693797994694409193973
32,410.431871444228880709782856287019975,409.2,1.231871444228880709782856287019975
33,436.438098831054614346494819260885295,435.2,1.238098831054614346494819260885295
34,463.244138829744818136720255885928043,462.0,1.244138829744818136720255885928043
35,490.850002408634421096562022492133261,489.6,1.250002408634421096562022492133261
36,519.255699599242567245475096293073270,518.0,1.255699599242567245475096293073270
37,548.461239600096402744098454527383512,547.2,1.261239600096402744098454527383512
38,578.466630866551191891328467361865280,577.2,1.266630866551191891328467361865280
39,609.271881188814664468422687194993913,608.0,1.271881188814664468422687194993913
40,640.876997759987676134425932519995276,639.6,1.276997759987676134425932519995276
41,673.281987235616513303529486008532020,672.0,1.281987235616513303529486008532020
42,706.486855785997181333501953986114010,705.2,1.286855785997181333501953986114010
43,740.491609142265528509441652619777011,739.2,1.291609142265528509441652619777011
44,775.296252637138964291619489020244737,774.0,1.296252637138964291619489020244737
45,810.900791241037960727203935975730056,809.6,1.300791241037960727203935975730056
46,847.305229594202389643082927096990004,846.0,1.305229594202389643082927096990004
47,884.509572035324271624680238327828579,883.2,1.309572035324271624680238327828579
48,922.513822627140926421427890037233208,921.2,1.313822627140926421427890037233208
49,961.317985179367851875669838685278358,960.0,1.317985179367851875669838685278358
50,1000.92206326929653575812764785956320,999.6,1.32206326929653575812764785956320
51,1041.32606026033693793059367295827836,1040.0,1.32606026033693793059367295827836
52,1082.52997931874603504222408819508845,1081.2,1.32997931874603504222408819508845
53,1124.53382342875136984726331769978436,1123.2,1.33382342875136984726331769978436
54,1167.33759540625098610057976115435162,1166.0,1.33759540625098610057976115435162
55,1210.94129791124765449488462463688443,1209.6,1.34129791124765449488462463688443
56,1255.34493345915522053338376338567117,1254.0,1.34493345915522053338376338567117
57,1300.54850443109770626649616791284618,1299.2,1.34850443109770626649616791284618
58,1346.55201308330700063498419551678622,1345.2,1.35201308330700063498419551678622
59,1393.35546155571221921456749260861204,1392.0,1.35546155571221921456749260861204
60,1440.95885187980278964939210080595918,1439.6,1.35885187980278964939210080595918
61,1489.36218598583775483422313883243697,1488.0,1.36218598583775483422313883243697
62,1538.56546570946548490011733142911300,1537.2,1.36546570946548490011733142911300
63,1588.56869279781074716931219649464576,1587.2,1.36869279781074716931219649464576
64,1639.37186891507977076514761969566356,1638.0,1.37186891507977076514761969566356
65,1690.97499564772840772286356733116718,1689.6,1.37499564772840772286356733116718
66,1743.37807450923364510806432938937933,1742.0,1.37807450923364510806432938937933
67,1796.58110694450446035831452254881650,1795.2,1.38110694450446035831452254881650
68,1850.58409433396425590252407314526669,1849.2,1.38409433396425590252407314526669
69,1905.38703799733379644205308780400710,1904.0,1.38703799733379644205308780400710
70,1960.98993919714064400920390177451662,1959.6,1.38993919714064400920390177451662
71,2017.39279914197848721503682275542001,2016.0,1.39279914197848721503682275542001
72,2074.59561898953746285606654377527973,2073.2,1.39561898953746285606654377527973
73,2132.59839984942451504299298887552575,2131.2,1.39839984942451504299298887552575
74,2191.40114278579101816606778675030002,2190.0,1.40114278579101816606778675030002
75,2251.00384881978325891059475161012844,2249.6,1.40384881978325891059475161012844
76,2311.40651893182992297930765440874877,2310.0,1.40651893182992297930765440874877
77,2372.60915406377942977995059098487253,2371.2,1.40915406377942977995059098487253
78,2434.61175512089879253820617180583106,2433.2,1.41175512089879253820617180583106
79,2497.41432297374463447612460334372165,2496.0,1.41432297374463447612460334372165
80,2561.01685845991605357056234486433418,2559.6,1.41685845991605357056234486433418
81,2625.41936238569817906466250532769197,2624.0,1.41936238569817906466250532769197
82,2690.62183552760450145485564877693809,2689.2,1.42183552760450145485564877693809
83,2756.62427863382536894207007810634258,2755.2,1.42427863382536894207007810634258
84,2823.42669242558941904412454471411132,2822.0,1.42669242558941904412454471411132
85,2891.02907759844415479010269657784427,2889.6,1.42907759844415479010269657784427
86,2959.43143482346135905211925334549742,2958.0,1.43143482346135905211925334549742
87,3028.63376474837258309908806628571976,3027.2,1.43376474837258309908806628571976
88,3098.63606799863952207936650971222517,3097.2,1.43606799863952207936650971222517
89,3169.43834517846370663698917719601813,3168.0,1.43834517846370663698917719601813
90,3241.04059687173959664947457399625773,3239.6,1.44059687173959664947457399625773
91,3313.44282364295484162313782854760329,3312.0,1.44282364295484162313782854760329
92,3386.64502603804118398430328388492944,3385.2,1.44502603804118398430328388492944
93,3460.64720458517921924975524354536820,3459.2,1.44720458517921924975524354536820
94,3535.44935979555998413102701259119780,3534.0,1.44935979555998413102701259119780
95,3611.05149216410612247309938166036850,3609.6,1.45149216410612247309938166036850
96,3687.45360217015517710596326274671704,3686.0,1.45360217015517710596326274671704
97,3764.65569027810737134539159533365653,3763.2,1.45569027810737134539159533365653
98,3842.65775693804007100497090977564537,3841.2,1.45775693804007100497090977564537
99,3921.45980258629096430925384140642281,3920.0,1.45980258629096430925384140642281
100,4001.06182764601185075747777697796421,3999.6,1.46182764601185075747777697796421
101,4081.46383252769480068314037503940346,4080.0,1.46383252769480068314037503940346
102,4162.66581762967232168000159539194541,4161.2,1.46581762967232168000159539194541
103,4244.66778333859306015146899132780863,4243.2,1.46778333859306015146899132780863
104,4327.46973002987445897561264231686779,4326.0,1.46973002987445897561264231686779
105,4411.07165806813369920429913914082758,4409.6,1.47165806813369920429913914082758
106,4495.47356780759816295069038758884558,4494.0,1.47356780759816295069038758884558
107,4580.67545959249657653739753351301541,4579.2,1.47545959249657653739753351301541
108,4666.67733375743191373802595239359478,4665.2,1.47733375743191373802595239359478
109,4753.47919062773707035131308188395984,4752.0,1.47919062773707035131308188395984
110,4841.08103051981425892693579219683367,4839.6,1.48103051981425892693579219683367
111,4929.48285374145900660086550488875873,4928.0,1.48285374145900660086550488875873
112,5018.68466059216958956451576648680200,5017.2,1.48466059216958956451576648680200
113,5108.68645136344268215613291255327824,5107.2,1.48645136344268215613291255327824
114,5199.48822633905594980512413169018290,5198.0,1.48822633905594980512413169018290
115,5291.08998579533827461151465813208914,5289.6,1.48998579533827461151465813208914
