Eigenstate,Energy,Kinetic Energy,Potential Energy
1,0.500000015636512428422560396510671693,0.0,0.500000015636512428422560396510671693
2,1.84623103973947242440484138353710959,1.2,0.64623103973947242440484138353710959
3,3.93633790967873900728336768810181055,3.2,0.73633790967873900728336768810181055
4,6.79966590290363682758394839891576609,6.0,0.79966590290363682758394839891576609
5,10.4480476586833189376607303997663010,9.6,0.8480476586833189376607303997663010
6,14.8870676744908745842421332728476115,14.0,0.8870676744908745842421332728476115
7,20.1197232333570241933266342707998073,19.2,0.9197232333570241933266342707998073
8,26.1477871228434101243762048015639812,25.2,0.9477871228434101243762048015639812
9,32.9723878430087768725793854317844047,32.0,0.9723878430087768725793854317844047
10,40.5942856490407841998585340986027375,39.6,0.9942856490407841998585340986027375
11,49.0140161121630706363378746839077816,48.0,1.0140161121630706363378746839077816
12,58.2319703288363558813363491959229927,57.2,1.0319703288363558813363491959229927
13,68.2484424303733832113224862325213465,67.2,1.0484424303733832113224862325213465
14,79.0636591158061434608440068126847375,78.0,1.0636591158061434608440068126847375
15,90.6777987677078513693311999557828368,89.6,1.0777987677078513693311999557828368
16,103.091004257069441818070718152596788,102.0,1.091004257069441818070718152596788
17,116.303391776766205915307086946606507,115.2,1.103391776766205915307086946606507
18,130.315057092568665933698154890629742,129.2,1.115057092568665933698154890629742
19,145.126080066251046487403241672890816,144.0,1.126080066251046487403241672890816
20,160.736527993229693324085128419215248,159.6,1.136527993229693324085128419215248
21,177.146458108649353538471772550929977,176.0,1.146458108649353538471772550929977
22,194.355919498546677081366669226974164,193.2,1.155919498546677081366669226974164
23,212.364954577791738499294723815944132,211.2,1.164954577791738499294723815944132
24,231.173600247493737165846226110177947,230.0,1.173600247493737165846226110177947
25,250.781888811802520898092364247002770,249.6,1.181888811802520898092364247002770
26,271.189848711722124254406452969545579,270.0,1.189848711722124254406452969545579
27,292.397505118079680439250988139757448,291.2,1.197505118079680439250988139757448
28,314.404880414891214328342481518071726,313.2,1.204880414891214328342481518071726
29,337.211994596570796667620552015727753,336.0,1.211994596570796667620552015727753
30,360.818865596780053008939370091382080,359.6,1.218865596780053008939370091382080
31,385.225509562569084089737354829372431,384.0,1.225509562569084089737354829372431
32,410.431941084381956898481841279254813,409.2,1.231941084381956898481841279254813
33,436.438173390190280406620547436972459,435.2,1.238173390190280406620547436972459
34,463.244218510267836624326326444062163,462.0,1.244218510267836624326326444062163
35,490.850087417780045908849230564803895,489.6,1.250087417780045908849230564803895
36,519.255790149328570316371797093196246,518.0,1.255790149328570316371797093196246
37,548.461335908787278403931646503034533,547.2,1.261335908787278403931646503034533
38,578.466733157135380761887117840396380,577.2,1.266733157135380761887117840396380
39,609.271989690495702015842207693089306,608.0,1.271989690495702015842207693089306
40,640.877112708190239898264899762659924,639.6,1.277112708190239898264899762659924
41,673.282108872308417952337958913922071,672.0,1.282108872308417952337958913922071
42,706.486984360028452719334696267350450,705.2,1.286984360028452719334696267350450
43,740.491744909725777532543613985357884,739.2,1.291744909725777532543613985357884
44,775.296395861734379450971140205205105,774.0,1.296395861734379450971140205205105
45,810.900942194489345626064599326964552,809.6,1.300942194489345626064599326964552
46,847.305388556665789451546751013149202,846.0,1.305388556665789451546751013149202
47,884.509739295835861705867488967546635,883.2,1.309739295835861705867488967546635
48,922.513998484087978275769679820714237,921.2,1.313998484087978275769679820714237
49,961.318169940987747678211483030978130,960.0,1.318169940987747678211483030978130
50,1000.92225725420597466707565975213075,999.6,1.32225725420597466707565975213075
51,1041.32626379809366684768533343064224,1040.0,1.32626379809366684768533343064224
52,1082.53019275044564565912593845672713,1081.2,1.33019275044564565912593845672713
53,1124.53404710766193493931033008931208,1123.2,1.33404710766193493931033008931208
54,1167.33782969848856376225626392683971,1166.0,1.33782969848856376225626392683971
55,1210.94154319649597233924199635509518,1209.6,1.34154319649597233924199635509518
56,1255.34519013143316619922274285398550,1254.0,1.34519013143316619922274285398550
57,1300.54877289957859976531221041253610,1299.2,1.34877289957859976531221041253610
58,1346.55229377319401254439553899041183,1345.2,1.35229377319401254439553899041183
59,1393.35575490917473153974881418027174,1392.0,1.35575490917473153974881418027174
60,1440.95915835697897911869560252778641,1439.6,1.35915835697897911869560252778641
61,1489.36250606590921811437866747935050,1488.0,1.36250606590921811437866747935050
62,1538.56579989181032935239532132775586,1537.2,1.36579989181032935239532132775586
63,1588.56904160324224812751763487914340,1587.2,1.36904160324224812751763487914340
64,1639.37223288717845706973855981550117,1638.0,1.37223288717845706973855981550117
65,1690.97537535427629316410439814880380,1689.6,1.37537535427629316410439814880380
66,1743.37847054376028816795961717539798,1742.0,1.37847054376028816795961717539798
67,1796.58151992795562407063710670366857,1795.2,1.38151992795562407063710670366857
68,1850.58452491650517227210039501492561,1849.2,1.38452491650517227210039501492561
69,1905.38748686030043729165165048221290,1904.0,1.38748686030043729165165048221290
70,1960.99040705515398766836662884960202,1959.6,1.39040705515398766836662884960202
71,2017.39328674523857785805850064042592,2016.0,1.39328674523857785805850064042592
72,2074.59612712631612153960727103693789,2073.2,1.39612712631612153960727103693789
73,2132.59892934877791992408330582031259,2131.2,1.39892934877791992408330582031259
74,2191.40169452051607495017561509005242,2190.0,1.40169452051607495017561509005242
75,2251.00442370964478943868016153641207,2249.6,1.40442370964478943868016153641207
76,2311.40711794708927930274154771868112,2310.0,1.40711794708927930274154771868112
77,2372.60977822905927593102496944366548,2371.2,1.40977822905927593102496944366548
78,2434.61240551942358584416292451745415,2433.2,1.41240551942358584416292451745415
79,2497.41500075200190229321452381483496,2496.0,1.41500075200190229321452381483496
80,2561.01756483279004423039150654737988,2559.6,1.41756483279004423039150654737988
81,2625.42009864213504286142649076965903,2624.0,1.42009864213504286142649076965903
82,2690.62260303687704200704755474706835,2689.2,1.42260303687704200704755474706835
83,2756.62507885247585805791869330504177,2755.2,1.42507885247585805791869330504177
84,2823.42752690514130953897927454191439,2822.0,1.42752690514130953897927454191439
85,2891.02994799398815048878169524065385,2889.6,1.42994799398815048878169524065385
86,2959.43234290323869882822699492395233,2958.0,1.43234290323869882822699492395233
87,3028.63471240449917561104160920049619,3027.2,1.43471240449917561104160920049619
88,3098.63705725913949251954009092442054,3097.2,1.43705725913949251954009092442054
89,3169.43937822081094601218180453153866,3168.0,1.43937822081094601218180453153866
90,3241.04167603814225233725106643538583,3239.6,1.44167603814225233725106643538583
91,3313.44395145766190126620356362027021,3312.0,1.44395145766190126620356362027021
92,3386.64620522700436372774217682394343,3385.2,1.44620522700436372774217682394343
93,3460.64843809846982576914815138793771,3459.2,1.44843809846982576914815138793771
94,3535.45065083302259402719930365236126,3534.0,1.45065083302259402719930365236126
95,3611.05284420483315024657819121777388,3609.6,1.45284420483315024657819121777388
96,3687.45501900649440264175996708872976,3686.0,1.45501900649440264175996708872976
97,3764.65717605507587097792880897428636,3763.2,1.45717605507587097792880897428636
98,3842.65931619922293584915947098871373,3841.2,1.45931619922293584915947098871373
99,3921.46144032756549238404907419309657,3920.0,1.46144032756549238404907419309657
100,4001.06354937877642706808765585594821,3999.6,1.46354937877642706808765585594821
101,4081.46564435372249389915954108106127,4080.0,1.46564435372249389915954108106127
102,4162.66772633028875233753412809543802,4161.2,1.46772633028875233753412809543802
103,4244.66979648164787069079183032258657,4243.2,1.46979648164787069079183032258657
104,4327.47185609900963066598341835232759,4326.0,1.47185609900963066598341835232759
105,4411.07390662025747848818426110540864,4409.6,1.47390662025747848818426110540864
106,4495.47594966640921187982893314760902,4494.0,1.47594966640921187982893314760902
107,4580.67798708860759549702145143036856,4579.2,1.47798708860759549702145143036856
108,4666.68002102948025254979657314176894,4665.2,1.48002102948025254979657314176894
109,4753.48205400441141141199412604974394,4752.0,1.48205400441141141199412604974394
110,4841.08408901088080421010076360757375,4839.6,1.48408901088080421010076360757375
111,4929.48612967812600593697564339489447,4928.0,1.48612967812600593697564339489447
112,5018.68818047598883500319605612104384,5017.2,1.48818047598883500319605612104384
113,5108.69024701275336207542216537526545,5107.2,1.49024701275336207542216537526545
114,5199.49233647053062199192036394996265,5198.0,1.49233647053062199192036394996265
115,5291.09445826007337350171158852697297,5289.6,1.49445826007337350171158852697297
116,5383.49662503876361316201197082827668,5382.0,1.49662503876361316201197082827668
117,5476.69885435626517473716150524414882,5475.2,1.49885435626517473716150524414882
