Eigenstate,Energy,Kinetic Energy,Potential Energy
1,0.500000019060633196154680270402103844,0.0,0.500000019060633196154680270402103844
2,1.84623106209878368234113864742362011,1.2,0.64623106209878368234113864742362011
3,3.93633797539591903766552359785125478,3.2,0.73633797539591903766552359785125478
4,6.79966603989503286178599085883960083,6.0,0.79966603989503286178599085883960083
5,10.4480478962236360161600718278491853,9.6,0.8480478962236360161600718278491853
6,14.8870680425221007249613590574097436,14.0,0.8870680425221007249613590574097436
7,20.1197237622602248295770078485573130,19.2,0.9197237622602248295770078485573130
8,26.1477878433683774606968382461046121,25.2,0.9477878433683774606968382461046121
9,32.9723887862645755174395466105359619,32.0,0.9723887862645755174395466105359619
10,40.5942868465128836244285941809704696,39.6,0.9942868465128836244285941809704696
11,49.0140175957435519402946093964759175,48.0,1.0140175957435519402946093964759175
12,58.2319721308613727445295056623617202,57.2,1.0319721308613727445295056623617202
13,68.2484445836651947189421308551654488,67.2,1.0484445836651947189421308551654488
14,79.0636616537184301974090432880731492,78.0,1.0636616537184301974090432880731492
15,90.6778017241736931003202947264377338,89.6,1.0778017241736931003202947264377338
16,103.091007666651676401449177650448352,102.0,1.091007666651676401449177650448352
17,116.303395674710075286303481193384748,115.2,1.103395674710075286303481193384748
18,130.315061514856763394384850272114588,129.2,1.115061514856763394384850272114588
19,145.126085049660647223795641241667186,144.0,1.126085049660647223795641241667186
20,160.736533575392595812701558112624349,159.6,1.136533575392595812701558112624349
21,177.146464328114393204176950674048906,176.0,1.146464328114393204176950674048906
22,194.355926394845100702030907312613642,193.2,1.155926394845100702030907312613642
23,212.364962191505651573873106565058854,211.2,1.164962191505651573873106565058854
24,231.173608620327858671517553274785273,230.0,1.173608620327858671517553274785273
25,250.781897986659501764059976087174022,249.6,1.181897986659501764059976087174022
26,271.189858732781708285947279514162975,270.0,1.189858732781708285947279514162975
27,292.397516030882009921609682527668429,291.2,1.197516030882009921609682527668429
28,314.404892266424607584633598070217918,313.2,1.204892266424607584633598070217918
29,337.212007435364351827622041339831968,336.0,1.212007435364351827622041339831968
30,360.818879473001461523520240325948889,359.6,1.218879473001461523520240325948889
31,385.225524528128069447100081119797680,384.0,1.225524528128069447100081119797680
32,410.431957193039788919633015570133205,409.2,1.231957193039788919633015570133205
33,436.438190697675853795373212181287062,435.2,1.238190697675853795373212181287062
34,463.244237074400844528905551625827892,462.0,1.244237074400844528905551625827892
35,490.850107298601825565033120075503806,489.6,1.250107298601825565033120075503806
36,519.255811409241248881596140943673192,518.0,1.255811409241248881596140943673192
37,548.461358612701903411169436630051654,547.2,1.261358612701903411169436630051654
38,578.466757372629781841692880729623892,577.2,1.266757372629781841692880729623892
39,609.272015487982899352922003747223644,608.0,1.272015487982899352922003747223644
40,640.877140161098291093329865036384945,639.6,1.277140161098291093329865036384945
41,673.282138057272679442127151917315512,672.0,1.282138057272679442127151917315512
42,706.487015357097325678056720554085441,705.2,1.287015357097325678056720554085441
43,740.491777802581112383989281147491186,739.2,1.291777802581112383989281147491186
44,775.296430737927829067799028823792308,774.0,1.296430737927829067799028823792308
45,810.900979145696086468938522282251339,809.6,1.300979145696086468938522282251339
46,847.305427678957174004647151491245521,846.0,1.305427678957174004647151491245521
47,884.509780689972726539247206637093210,883.2,1.309780689972726539247206637093210
48,922.514042255836512134602712169008212,921.2,1.314042255836512134602712169008212
49,961.318216201460025718347594391640460,960.0,1.318216201460025718347594391640460
50,1000.92230612022749126227782326122313,999.6,1.32230612022749126227782326122313
51,1041.32631539260045366960655117571358,1040.0,1.32631539260045366960655117571358
52,1082.53024720291384788102891185824681,1081.2,1.33024720291384788102891185824681
53,1124.53410455457304095458277031228637,1123.2,1.33410455457304095458277031228637
