Eigenstate,Energy,Kinetic Energy,Potential Energy
1,0.500000024221216891863129733986812657,0.0,0.500000024221216891863129733986812657
2,1.84623109579913955158277153652821283,1.2,0.64623109579913955158277153652821283
3,3.93633807445536069904273200128884657,3.2,0.73633807445536069904273200128884657
4,6.79966624641703508229362037924566068,6.0,0.79966624641703508229362037924566068
5,10.4480482543876198083650627403912496,9.6,0.8480482543876198083650627403912496
6,14.8870685975520627335388954153031426,14.0,0.8870685975520627335388954153031426
7,20.1197245600912132788218895139322519,19.2,0.9197245600912132788218895139322519
8,26.1477889305511804754439280432116863,25.2,0.9477889305511804754439280432116863
9,32.9723902099625557560650170559792832,32.0,0.9723902099625557560650170559792832
10,40.5942886545393162390755742506439752,39.6,0.9942886545393162390755742506439752
11,49.0140198366191700682723323472546090,48.0,1.0140198366191700682723323472546090
12,58.2319748538834222784395540021690428,57.2,1.0319748538834222784395540021690428
13,68.2484478389840338456609202010833342,67.2,1.0484478389840338456609202010833342
14,79.0636654924198149553792885208201113,78.0,1.0636654924198149553792885208201113
15,90.6778061983659012774743817828045154,89.6,1.0778061983659012774743817828045154
16,103.091012829557143194456859027353569,102.0,1.091012829557143194456859027353569
17,116.303401580761502279350885446883832,115.2,1.103401580761502279350885446883832
18,130.315068219797834197164919448308851,129.2,1.115068219797834197164919448308851
19,145.126092610651594571583394027016776,144.0,1.126092610651594571583394027016776
20,160.736542051120944438979806618127830,159.6,1.136542051120944438979806618127830
21,177.146473778911265413380049351308554,176.0,1.146473778911265413380049351308554
22,194.355936882807525687304996989725799,193.2,1.155936882807525687304996989725799
23,212.364973780625370056051458674448968,211.2,1.164973780625370056051458674448968
24,231.173621376627164427709587955892318,230.0,1.173621376627164427709587955892318
25,250.781911978334713090854075528402202,249.6,1.181911978334713090854075528402202
26,271.189874030354916861509680214665736,270.0,1.189874030354916861509680214665736
27,292.397532707361813044594126269585402,291.2,1.197532707361813044594126269585402
28,314.404910397476593372914490624136562,313.2,1.204910397476593372914490624136562
29,337.212027099492176592618038211986488,336.0,1.212027099492176592618038211986488
30,360.818900751739435133119925052896440,359.6,1.218900751739435133119925052896440
31,385.225547506246249032955794357395855,384.0,1.225547506246249032955794357395855
32,410.431981958762674831955095246819216,409.2,1.231981958762674831955095246819216
33,436.438217342915885426855088671988458,435.2,1.238217342915885426855088671988458
34,463.244265695008008820325369400352994,462.0,1.244265695008008820325369400352994
35,490.850137994630819132828283484505872,489.6,1.250137994630819132828283484505872
36,519.255844285237777429573794187667972,518.0,1.255844285237777429573794187667972
37,548.461393778009861288469431472117390,547.2,1.261393778009861288469431472117390
38,578.466794941721232435346014015780428,577.2,1.266794941721232435346014015780428
39,609.272055580812975912516255893813131,608.0,1.272055580812975912516255893813131
40,640.877182903487360392905821868330896,639.6,1.277182903487360392905821868330896
41,673.282183581318360624894456482645666,672.0,1.282183581318360624894456482645666
42,706.487063801619237425788868274798398,705.2,1.287063801619237425788868274798398
43,740.491829313601537499472274862414981,739.2,1.291829313601537499472274862414981
44,775.296485469191841619093063224896533,774.0,1.296485469191841619093063224896533
45,810.901037259235088567585412274920833,809.6,1.301037259235088567585412274920833
46,847.305489345700243749301557936036364,846.0,1.305489345700243749301557936036364
47,884.509846090410693413381822701024780,883.2,1.309846090410693413381822701024780
