Eigenstate,Potential Energy
1,0.500000001703370376837630303880678525
2,0.64623094877031667914243860042244456
3,0.73633764236895999190961848844696299
4,0.79966534585594044073365418957927044
5,0.8480466931618600458920397593396328
6,0.8870661792995668605482064105508738
7,0.9197210858355070994936707221869346
8,0.9477841992220851399905681723996369
9,0.9723840185177268131862700073104888
10,0.9942807979124720490678788006949958
11,1.0140101075841018431013088712647104
12,1.0319630428723011408027714766349378
13,1.0484337338779064368292273218259673
14,1.0636488783200259397806328900299727
15,1.0777868573508086351396388340242515
16,1.090990540426262337192896534498324
17,1.103376118768006820317706597147327
18,1.115039356369646387082720086496598
19,1.126060113100873054069947527293156
20,1.136505682341497956521230083583876
21,1.146433297063223394354309490337775
22,1.155892040988444452777399274854216
23,1.164924326526826163557825295311844
24,1.173567052175772138439425031072826
25,1.181852519316393423431571135220907
26,1.189809166021136111909746657395866
27,1.197462160016395447139368694810999
28,1.204833882041593059755141304929930
29,1.211944323051165973700036457592868
30,1.218811413056428311368774159055812
31,1.225451295258328033911419490693971
32,1.231878556044221399933558290929513
33,1.238106419112139972395601780359672
34,1.244146910235478701300788221423359
35,1.250010997841838517517163152113543
36,1.255708713546277974883916857380292
37,1.261249255975143914671024725178659
38,1.266641080586232372507584572095898
39,1.271891977693182290395756571660752
40,1.277009140506183807032812753401670
41,1.281999224684332621740385216199501
42,1.286868400639969322858722575341477
43,1.291622399628856224608422103065273
44,1.296266554491950239766490810923024
45,1.300805835776960745987960432057604
46,1.305244883854745121010047094463709
47,1.309588037552118010061418499267241
48,1.313839359745064025331581782716941
49,1.318002660291681034535775735141837
50,1.32208151663005848329440574788630
51,1.32607929232082823515493755894168
52,1.32999915377578020055229435925329
53,1.33384408538148490943349265723493
54,1.33761690319930405295912200167838
55,1.34132026739969452949360131969576
56,1.34495669356863696244260606159423
57,1.34852856300682069500479059057135
58,1.35203813212742008340242046862379
59,1.35548754104554296580165070521485
60,1.35887882144140767953745300877486
61,1.36221390376974077498599053619171
62,1.36549462387958657272942703377881
63,1.36872272910147782519903171262267
64,1.37189988385260426779761605595300
65,1.37502767480508100845091645329204
66,1.37810761565757136955791712867201
67,1.38114115154625650927849699677762
68,1.38412966312738799274807089763925
69,1.38707447036034681778251400664468
70,1.38997683601720413622261046265190
71,1.39283796894218021350018416358721
72,1.39565902708209993192419922736988
73,1.39844112030689014241027381349534
74,1.40118531303734532664179909297362
75,1.40389262669575693668469410070152
76,1.40656404199355222869404624110707
77,1.40920050106878601565300248180595
