Eigenstate,Potential Energy
1,0.500000273576744162796904255769240017
2,0.64623272598351027920109504623982615
3,0.73634287453491608330022122152475443
4,0.79967627755135913962769330259852591
5,0.8480657039559241542845127443148359
6,0.8870957389242373911005501312581200
7,0.9197637467285643752420530246313298
8,0.9478426024034596773939413676437626
9,0.9724609052989861304532842406051892
10,0.9943790249394697646296350668825533
11,1.0141326643967623281390975459808679
12,1.0321130718170080729668806294742936
13,1.0486145525075896880166640173330241
14,1.0638640045902664634873691514300082
15,1.0780400380508884418685164051354945
16,1.091285783407839438749133033173722
17,1.103717729669637573159399336527729
18,1.115431980695569700617073174703696
19,1.126508784709168991520376887375833
20,1.137015879643330770999724643476540
21,1.147011008548208387574078149064395
22,1.156543842093500260700114685502232
23,1.165657470387426730067755575090256
24,1.174389577481087962193821269426845
25,1.182773379391997653450899164028262
26,1.190838384467996354637288404590137
27,1.198611019862710930780635682842065
28,1.206115157590001562051880847296893
29,1.213372566688321318047619273039683
30,1.220403313628294325730948409328662
31,1.227226130808155687587420257247508
32,1.233858772712070822753220103544352
33,1.240318381332858832147048983094063
34,1.246621887562957153859015612916429
35,1.252786485033481132867337670693761
36,1.258830230410532923423022910106905
37,1.264772855396812060863565063698294
38,1.270636932499882092025572596003964
39,1.276449643706925639499366254113996
40,1.282245612823936489774291869773961
41,1.288071705857854277327288622069304
42,1.293995703712537705699177791183152
43,1.300123217814502841679210574465044
44,1.306634044616156715860362337554063
45,1.313871160042524018578244794329837
46,1.322603546117262245352467699109721
47,1.335076452111071723511600815229368
48,1.362758153667189104370171532510533
